iShares CMBS ETF
Fund Holdings as of,"Jan 28, 2020"
Inception Date,"Feb 14, 2012"
Shares Outstanding,"8,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Asset Class,Weight (%),Price,Market Value,Notional Value,Sector,SEDOL,ISIN,Coupon (%),Maturity,YTM (%),Yield to Worst (%),Duration,Par Value
"BMARK_18-B1 A5","Fixed Income","0.39","109.90","1,698,884.24","1,698,884.24","Non-Agency CMBS","-","US08162PAX96","3.67","Jan 15, 2051","2.26","2.26","6.25","1,542,000.00"
"FHMS-K091 A2","Fixed Income","0.39","111.04","1,669,469.62","1,669,469.62","Agency CMBS","-","US3137FLN910","3.50","Mar 25, 2029","2.11","2.11","7.59","1,500,000.00"
"FREMF_K077 A2","Fixed Income","0.38","112.59","1,636,795.53","1,636,795.53","Agency CMBS","-","US3137FG6X87","3.85","May 25, 2028","2.11","2.11","6.91","1,450,000.00"
"CGCMT_15-GC33 A4","Fixed Income","0.38","108.78","1,636,016.25","1,636,016.25","Non-Agency CMBS","-","US29425AAD54","3.78","Sep 10, 2058","2.03","2.03","4.82","1,500,000.00"
"FHMS_K070 A2","Fixed Income","0.38","108.56","1,632,082.88","1,632,082.88","Agency CMBS","-","US3137FCJK14","3.30","Nov 25, 2027","2.04","2.04","6.57","1,500,000.00"
"DBGS_18-C1 A4","Fixed Income","0.38","115.84","1,626,459.10","1,626,459.10","Non-Agency CMBS","-","US23307DBA00","4.47","Oct 15, 2051","2.37","2.37","6.68","1,400,000.00"
"FHLMC_K022 A2","Fixed Income","0.37","101.04","1,619,458.00","1,619,458.00","Agency CMBS","B98CB18","US3137AVXN23","2.36","Jul 25, 2022","1.81","1.81","2.14","1,600,000.00"
"FHMS_K056 A2","Fixed Income","0.37","103.37","1,615,451.37","1,615,451.37","Agency CMBS","-","US3137BQYS07","2.52","May 25, 2026","1.90","1.90","5.48","1,560,000.00"
"GSMS_15-GC34 A4","Fixed Income","0.37","107.23","1,612,403.25","1,612,403.25","Non-Agency CMBS","BYV0SP7","US36250VAD47","3.51","Oct 10, 2048","2.09","2.09","4.93","1,500,000.00"
"JPMCC_14-C20 A5","Fixed Income","0.37","107.12","1,611,129.68","1,611,129.68","Non-Agency CMBS","-","US46642CBJ80","3.80","Jul 15, 2047","1.88","1.88","3.63","1,500,000.00"
"FHMS K058 A-2","Fixed Income","0.37","104.18","1,593,833.35","1,593,833.35","Agency CMBS","BD24G68","US3137BSP729","2.65","Aug 25, 2026","1.92","1.92","5.76","1,527,000.00"
"FHMS_K072 A2","Fixed Income","0.37","109.62","1,593,291.90","1,593,291.90","Agency CMBS","-","US3137FEBQ22","3.44","Dec 25, 2027","2.04","2.04","6.64","1,450,000.00"
"FHMS_K101 A2","Fixed Income","0.36","103.62","1,557,108.00","1,557,108.00","Agency CMBS","-","US3137FQ3Z46","2.52","Oct 25, 2052","2.09","2.09","8.39","1,500,000.00"
"FHMS_K094 A2","Fixed Income","0.35","106.53","1,515,790.72","1,515,790.72","Agency CMBS","-","US3137FMTY89","2.90","Jun 25, 2029","2.10","2.10","7.97","1,420,000.00"
"JPMBB_14-C18 A5","Fixed Income","0.35","107.72","1,512,342.26","1,512,342.26","Non-Agency CMBS","-","US46641JAW62","4.08","Feb 15, 2047","1.90","1.90","3.46","1,400,000.00"
"FHMS_18-K730 A-2","Fixed Income","0.35","107.51","1,508,915.10","1,508,915.10","Agency CMBS","-","US3137FEUA68","3.59","Jan 25, 2025","1.80","1.80","4.11","1,400,000.00"
"UBSCM_19-C16 ASB","Fixed Income","0.35","107.65","1,505,298.78","1,505,298.78","Non-Agency CMBS","-","US90276YAC75","3.46","Apr 17, 2052","2.19","2.19","5.84","1,395,000.00"
"FHLMC_K019 A2","Fixed Income","0.35","100.74","1,504,734.35","1,504,734.35","Agency CMBS","-","US3137ASNJ91","2.27","Mar 25, 2022","1.78","1.78","1.77","1,491,218.00"
"FHMS_K066 A2","Fixed Income","0.35","107.15","1,503,349.05","1,503,349.05","Agency CMBS","-","US3137F2LJ39","3.12","Jun 25, 2027","2.00","2.00","6.29","1,400,000.00"
"WFCM_19-C53 A4","Fixed Income","0.34","105.36","1,478,271.20","1,478,271.20","Non-Agency CMBS","-","US95002BAE39","3.04","Oct 15, 2052","2.40","2.40","8.16","1,400,000.00"
"FNMA_15-M10 A1","Fixed Income","0.34","102.07","1,472,095.50","1,472,095.50","Agency CMBS","-","US3136AN6T90","2.63","Apr 25, 2027","1.90","1.90","3.02","1,439,398.00"
"UBSCM_19-C16 AS","Fixed Income","0.34","109.63","1,466,545.70","1,466,545.70","Non-Agency CMBS","-","US90276YAH62","3.89","Apr 17, 2052","2.67","2.67","7.53","1,334,158.00"
"BACM_17-BNK3 A3","Fixed Income","0.34","106.90","1,462,511.85","1,462,511.85","Non-Agency CMBS","-","US06427DAR44","3.31","Feb 15, 2050","2.10","2.10","5.56","1,365,000.00"
"FREMF_K-724 A2","Fixed Income","0.34","103.83","1,456,818.30","1,456,818.30","Agency CMBS","-","US3137BTU255","3.06","Nov 25, 2023","1.85","1.85","3.22","1,400,000.00"
"BBCMS_18-C2 A5","Fixed Income","0.33","115.31","1,445,396.88","1,445,396.88","Non-Agency CMBS","-","US05491UBD90","4.31","Dec 15, 2051","2.33","2.33","7.21","1,250,000.00"
"FHMS_K073 A2","Fixed Income","0.33","108.91","1,415,843.46","1,415,843.46","Agency CMBS","-","US3137FETN09","3.35","Jan 25, 2028","2.07","2.07","6.74","1,297,000.00"
"FHMS_K061 A2","Fixed Income","0.33","108.12","1,408,762.23","1,408,762.23","Agency CMBS","BYXM721","US3137BTUM12","3.35","Nov 25, 2026","1.99","1.99","5.84","1,300,000.00"
"FNMA_19-M7 A2","Fixed Income","0.33","107.86","1,405,261.33","1,405,261.33","Agency CMBS","-","US3136B4QB72","3.14","Apr 25, 2029","2.18","2.18","7.99","1,300,000.00"
"CGCMT_17-P7 A4","Fixed Income","0.32","109.81","1,376,100.00","1,376,100.00","Non-Agency CMBS","-","US17325HBP82","3.71","Apr 14, 2050","2.16","2.16","6.06","1,250,000.00"
"WFCM_17-C42 A4","Fixed Income","0.32","109.18","1,368,139.69","1,368,139.69","Non-Agency CMBS","-","US95001GAE35","3.59","Dec 15, 2050","2.26","2.26","6.64","1,250,000.00"
"FHMS_15-K046 A2","Fixed Income","0.32","106.18","1,367,497.96","1,367,497.96","Agency CMBS","-","US3137BJP645","3.21","Mar 25, 2025","1.84","1.84","4.50","1,285,000.00"
"MSBAM_14-C19 A4","Fixed Income","0.32","106.47","1,361,088.86","1,361,088.86","Non-Agency CMBS","BYV55J5","US61764PBU57","3.53","Dec 15, 2047","2.01","2.01","4.17","1,275,177.00"
"FHMS_K083 A2","Fixed Income","0.31","114.48","1,360,182.70","1,360,182.70","Agency CMBS","-","US3137FJXV65","4.05","Sep 25, 2028","2.14","2.14","7.17","1,185,000.00"
"FHMS_16-K058 A-1","Fixed Income","0.31","100.25","1,349,060.48","1,349,060.48","Agency CMBS","-","US3137BSP646","2.34","Jul 25, 2026","2.23","2.23","3.20","1,343,381.00"
"WFCM_16-C37 A2","Fixed Income","0.31","101.47","1,336,969.01","1,336,969.01","Non-Agency CMBS","-","US95000PAB04","3.10","Dec 15, 2049","2.32","2.32","1.94","1,315,000.00"
"FNMA_13-M14 A2","Fixed Income","0.31","104.80","1,333,587.08","1,333,587.08","Agency CMBS","-","US3136AHAG51","3.33","Oct 25, 2023","1.86","1.86","3.31","1,269,434.00"
"FHLMC_K040 A2","Fixed Income","0.31","105.72","1,324,490.94","1,324,490.94","Agency CMBS","-","US3137BEVH49","3.24","Sep 25, 2024","1.82","1.82","4.01","1,250,000.00"
"FHMS_K041 A2","Fixed Income","0.31","105.56","1,322,430.31","1,322,430.31","Agency CMBS","-","US3137BFE985","3.17","Oct 25, 2024","1.83","1.83","4.13","1,250,000.00"
"MSC_16-BNK2 A4","Fixed Income","0.31","105.44","1,320,909.69","1,320,909.69","Non-Agency CMBS","-","US61690YBU55","3.05","Nov 15, 2049","2.14","2.14","5.86","1,250,000.00"
"FNMA_15-M8 A2","Fixed Income","0.30","104.70","1,311,521.25","1,311,521.25","Agency CMBS","-","US3136ANSB41","2.90","Jan 25, 2025","1.87","1.87","4.57","1,250,000.00"
"FHMS_K055 A2","Fixed Income","0.30","104.51","1,308,928.44","1,308,928.44","Agency CMBS","-","US3137BPW218","2.67","Mar 25, 2026","1.83","1.83","5.37","1,250,000.00"
"WFCM_19-C49 A5","Fixed Income","0.30","113.16","1,304,843.19","1,304,843.19","Non-Agency CMBS","-","US95001WBB37","4.02","Mar 15, 2052","2.35","2.35","7.44","1,150,000.00"
"JPMCC_19-COR5 A4","Fixed Income","0.30","108.39","1,303,711.89","1,303,711.89","Non-Agency CMBS","-","US46591EAT47","3.39","Jun 13, 2052","2.35","2.35","7.74","1,200,000.00"
"FHMS_K044 A2","Fixed Income","0.30","104.08","1,303,619.06","1,303,619.06","Agency CMBS","-","US3137BHCY14","2.81","Jan 25, 2025","1.87","1.87","4.38","1,250,000.00"
"JPMCC_12-LC9 A5","Fixed Income","0.30","101.92","1,303,386.47","1,303,386.47","Non-Agency CMBS","-","US46639EAE14","2.84","Dec 15, 2047","2.00","2.00","2.36","1,276,227.00"
"MSBAM_13-C13 A3","Fixed Income","0.30","105.78","1,299,318.91","1,299,318.91","Non-Agency CMBS","-","US61763BAT17","3.77","Nov 15, 2046","1.80","1.80","2.91","1,225,000.00"
"FHMS_K059 A2","Fixed Income","0.30","106.77","1,284,046.80","1,284,046.80","Agency CMBS","-","US3137BSRE59","3.12","Sep 25, 2026","1.94","1.94","5.68","1,200,000.00"
"JPMBB_15-C33 A4","Fixed Income","0.30","108.87","1,282,549.25","1,282,549.25","Non-Agency CMBS","BZ1HBV2","US46645JAD46","3.77","Dec 15, 2048","2.05","2.05","4.97","1,175,000.00"
"FHMS_K069 A-2","Fixed Income","0.29","107.77","1,272,961.77","1,272,961.77","Agency CMBS","-","US3137FBU791","3.19","Sep 25, 2027","2.02","2.02","6.49","1,178,572.00"
"FHMS_K717 A2","Fixed Income","0.29","100.96","1,260,708.80","1,260,708.80","Agency CMBS","-","US3137BFDQ15","2.99","Sep 25, 2021","2.13","2.13","1.30","1,245,932.00"
"FHMS_18-K157 A2","Fixed Income","0.29","116.24","1,254,002.14","1,254,002.14","Agency CMBS","-","US3137FHQ630","3.99","May 25, 2033","2.22","2.22","8.62","1,076,000.00"
"BBCMS_17-C1 A2","Fixed Income","0.29","102.03","1,242,605.71","1,242,605.71","Non-Agency CMBS","-","US07332VBA26","3.19","Feb 15, 2050","2.11","2.11","1.95","1,215,000.00"
"FHMS-K037 A2","Fixed Income","0.28","105.43","1,215,434.43","1,215,434.43","Agency CMBS","-","US3137B7YY96","3.49","Jan 25, 2024","1.88","1.88","3.39","1,150,000.00"
"FHMS_17-K064 A-1","Fixed Income","0.28","103.88","1,211,402.19","1,211,402.19","Agency CMBS","-","US3137BXQX35","2.89","Oct 25, 2026","1.92","1.92","3.79","1,163,686.00"
"GSMS_19-GC40 A4","Fixed Income","0.28","106.75","1,210,017.31","1,210,017.31","Non-Agency CMBS","-","US36257HBP01","3.16","Jul 12, 2052","2.34","2.34","7.90","1,131,000.00"
"JPMDB_17-C5 A5","Fixed Income","0.28","109.61","1,208,731.07","1,208,731.07","Non-Agency CMBS","-","US46590TAE55","3.69","Mar 15, 2050","2.14","2.14","5.93","1,100,000.00"
"MSBAM_17-C33 A5","Fixed Income","0.28","108.95","1,201,365.28","1,201,365.28","Non-Agency CMBS","-","US61767CAV00","3.60","May 15, 2050","2.20","2.20","6.14","1,100,000.00"
"FHLMC_K025 A2","Fixed Income","0.28","101.93","1,199,997.54","1,199,997.54","Agency CMBS","-","US3137AYCE91","2.68","Oct 25, 2022","1.81","1.81","2.36","1,175,000.00"
"JPMCC_16-JP4 A4","Fixed Income","0.28","108.94","1,190,471.00","1,190,471.00","Non-Agency CMBS","-","US46645UAT43","3.65","Dec 15, 2049","2.17","2.17","5.82","1,090,000.00"
"JPMBB_15-C31 A3","Fixed Income","0.27","108.71","1,187,999.77","1,187,999.77","Non-Agency CMBS","-","US46644YAU47","3.80","Aug 15, 2048","2.01","2.01","4.70","1,090,000.00"
"FNMA_17-M8-A2 A2","Fixed Income","0.27","107.16","1,181,350.50","1,181,350.50","Agency CMBS","BDT7YH7","US3136AW7J01","3.06","May 25, 2027","1.97","1.97","6.42","1,100,000.00"
"FHMS_K076 A1","Fixed Income","0.27","108.58","1,175,324.24","1,175,324.24","Agency CMBS","-","US3137FEZT05","3.73","Dec 25, 2027","1.78","1.78","4.25","1,079,692.00"
"FHMS_K159 A3","Fixed Income","0.27","116.92","1,172,167.50","1,172,167.50","Agency CMBS","-","US3137FKKP08","3.95","Nov 25, 2033","2.46","2.46","10.60","1,000,000.00"
"CGCMT_18-C6 A4","Fixed Income","0.27","116.01","1,163,428.00","1,163,428.00","Non-Agency CMBS","-","US17327GAY08","4.41","Nov 10, 2051","2.34","2.34","7.19","1,000,000.00"
"FHMS_K065 A1","Fixed Income","0.27","103.12","1,158,392.49","1,158,392.49","Agency CMBS","-","US3137F1G363","2.86","Oct 25, 2026","2.00","2.00","3.73","1,121,032.00"
"WFCM_18-C48 A5","Fixed Income","0.27","115.30","1,156,257.50","1,156,257.50","Non-Agency CMBS","-","US95001RAX70","4.30","Jan 15, 2052","2.32","2.32","7.24","1,000,000.00"
"FNMA_12-M17 A2","Fixed Income","0.27","100.75","1,151,747.20","1,151,747.20","Agency CMBS","-","US3136A96F09","2.18","Nov 25, 2022","1.84","1.84","2.50","1,141,354.00"
"WFCM_16-C32 ASB","Fixed Income","0.27","104.27","1,149,700.20","1,149,700.20","Non-Agency CMBS","-","US94989YBA01","3.32","Jan 15, 2059","1.96","1.96","3.14","1,100,000.00"
"FNMA_18-M10 A2","Fixed Income","0.26","109.69","1,143,531.74","1,143,531.74","Agency CMBS","-","US3136B2HA35","3.50","Jul 25, 2028","2.14","2.14","7.22","1,040,000.00"
"WFCM_18-C44 A5","Fixed Income","0.26","113.76","1,140,770.00","1,140,770.00","Non-Agency CMBS","-","US95001JAX54","4.21","May 15, 2051","2.31","2.31","6.80","1,000,000.00"
"JPMDB_18-C8 A4","Fixed Income","0.26","113.58","1,138,987.95","1,138,987.95","Non-Agency CMBS","-","US46591ABA25","4.21","Jun 15, 2051","2.34","2.34","6.83","1,000,000.00"
"JPMDB_17-C7 A5","Fixed Income","0.26","108.20","1,138,800.50","1,138,800.50","Non-Agency CMBS","-","US46648KAU07","3.41","Oct 15, 2050","2.18","2.18","6.43","1,050,000.00"
"WFCM_12-LC5 A3","Fixed Income","0.26","102.17","1,138,169.82","1,138,169.82","Non-Agency CMBS","-","US94988HAC51","2.92","Oct 15, 2045","1.89","1.89","2.17","1,111,601.00"
"MSC_19-L2 A4","Fixed Income","0.26","113.48","1,137,849.25","1,137,849.25","Non-Agency CMBS","-","US61768HAW60","4.07","Mar 15, 2052","2.36","2.36","7.42","1,000,000.00"
"FREMF_K082 A2","Fixed Income","0.26","113.48","1,137,737.00","1,137,737.00","Agency CMBS","-","US3137FJKE87","3.92","Sep 25, 2028","2.13","2.13","7.16","1,000,000.00"
"BMARK_18-B5 AS","Fixed Income","0.26","113.44","1,137,755.18","1,137,755.18","Non-Agency CMBS","-","US08160BAH78","4.42","Jul 15, 2051","2.62","2.62","7.02","1,000,000.00"
"MSC_18-H3 A5","Fixed Income","0.26","113.46","1,137,701.75","1,137,701.75","Non-Agency CMBS","-","US61767YAZ34","4.18","Jul 15, 2051","2.33","2.33","6.84","1,000,000.00"
"FHMS_K078 A2","Fixed Income","0.26","113.03","1,133,223.50","1,133,223.50","Agency CMBS","-","US3137FGR317","3.85","Jun 25, 2028","2.06","2.06","6.94","1,000,000.00"
"BMARK_18-B3 A5","Fixed Income","0.26","112.71","1,130,088.75","1,130,088.75","Non-Agency CMBS","-","US08161BAY92","4.03","Apr 10, 2051","2.24","2.24","6.69","1,000,000.00"
"FHMS_K050 A2","Fixed Income","0.26","107.02","1,126,377.52","1,126,377.52","Agency CMBS","BYSXHZ2","US3137BLW951","3.33","Aug 25, 2025","1.87","1.87","4.75","1,050,000.00"
"CSAIL_18-CX11 A5","Fixed Income","0.26","112.10","1,124,065.82","1,124,065.82","Non-Agency CMBS","-","US12652UAU34","4.03","Apr 15, 2051","2.31","2.31","6.68","1,000,000.00"
"GSMS_18-GS9 A4","Fixed Income","0.26","112.09","1,123,821.50","1,123,821.50","Non-Agency CMBS","-","US36255NAT28","3.99","Mar 10, 2051","2.28","2.28","6.67","1,000,000.00"
"BMARK_19-B9 A4","Fixed Income","0.26","111.67","1,119,480.10","1,119,480.10","Non-Agency CMBS","-","US08160JAD90","3.75","Mar 15, 2052","2.12","2.12","6.80","1,000,000.00"
"JPMBB_15-C28 A3","Fixed Income","0.26","103.52","1,118,349.86","1,118,349.86","Non-Agency CMBS","-","US46644FAC59","2.91","Oct 15, 2048","1.76","1.76","3.08","1,078,000.00"
"FNMA_19-M2 A2","Fixed Income","0.26","111.28","1,115,598.00","1,115,598.00","Agency CMBS","-","US3136B3J509","3.75","Nov 25, 2028","2.23","2.23","7.46","1,000,000.00"
"UBSCM_18-C12 ASB","Fixed Income","0.26","111.18","1,114,956.88","1,114,956.88","Non-Agency CMBS","-","US90353DAW56","4.19","Aug 15, 2051","2.14","2.14","5.21","1,000,000.00"
"BMARK_18-B2 AS","Fixed Income","0.26","111.13","1,114,400.62","1,114,400.62","Non-Agency CMBS","-","US08161CAJ09","4.08","Feb 15, 2051","2.52","2.52","6.77","1,000,000.00"
"FHMS_K075 A2","Fixed Income","0.26","111.10","1,113,710.50","1,113,710.50","Agency CMBS","BD8ZD97","US3137F4X727","3.65","Feb 25, 2028","2.08","2.08","6.80","1,000,000.00"
"FHMS_K074 A2","Fixed Income","0.26","110.73","1,110,016.00","1,110,016.00","Agency CMBS","-","US3137F4D414","3.60","Jan 25, 2028","2.05","2.05","6.68","1,000,000.00"
"FNMA_17-M7 A2","Fixed Income","0.26","106.58","1,108,578.55","1,108,578.55","Agency CMBS","-","US3136AV7G89","2.96","Feb 25, 2027","1.93","1.93","6.31","1,038,000.00"
"UBSCM_17-C7 A4","Fixed Income","0.25","109.75","1,100,259.25","1,100,259.25","Non-Agency CMBS","-","US90276WAS61","3.68","Dec 15, 2050","2.27","2.27","6.63","1,000,000.00"
"BMARK_18-B2 A4","Fixed Income","0.25","109.73","1,100,050.02","1,100,050.02","Non-Agency CMBS","-","US08161CAD39","3.61","Feb 15, 2051","2.12","2.12","6.25","1,000,000.00"
"CGCMT_16-P6 AS","Fixed Income","0.25","109.44","1,097,427.00","1,097,427.00","Non-Agency CMBS","-","US17291EAY77","4.03","Dec 10, 2049","2.50","2.50","5.88","1,000,000.00"
"MSBAM_16-C32 A4","Fixed Income","0.25","109.24","1,095,164.00","1,095,164.00","Non-Agency CMBS","-","US61691GAS93","3.72","Dec 15, 2049","2.20","2.20","5.83","1,000,000.00"
"FHMS_K062 A2","Fixed Income","0.25","109.25","1,095,079.75","1,095,079.75","Agency CMBS","-","US3137BUX604","3.41","Dec 25, 2026","1.89","1.89","5.92","1,000,000.00"
"BBCMS_17-C1 A4","Fixed Income","0.25","109.17","1,094,462.50","1,094,462.50","Non-Agency CMBS","-","US07332VBD64","3.67","Feb 15, 2050","2.20","2.20","5.97","1,000,000.00"
"WFCM_15LC22 A4","Fixed Income","0.25","109.08","1,093,646.25","1,093,646.25","Non-Agency CMBS","-","US94989TAZ75","3.84","Sep 15, 2058","2.03","2.03","4.84","1,000,000.00"
"COMM_16-DC2 A5","Fixed Income","0.25","108.77","1,090,505.75","1,090,505.75","Non-Agency CMBS","-","US12594CBF68","3.77","Feb 10, 2049","2.12","2.12","5.11","1,000,000.00"
"CGCMT_15-GC35 A-4","Fixed Income","0.25","108.76","1,090,461.50","1,090,461.50","Non-Agency CMBS","-","US17324KAP30","3.82","Nov 10, 2048","2.13","2.13","4.98","1,000,000.00"
"COMM_16-CR28 A4","Fixed Income","0.25","108.73","1,090,104.50","1,090,104.50","Non-Agency CMBS","BD6CWD7","US12593YBE23","3.76","Feb 10, 2049","2.10","2.10","5.03","1,000,000.00"
"COMM_17-COR2 A3","Fixed Income","0.25","108.72","1,089,802.50","1,089,802.50","Non-Agency CMBS","-","US12595EAD76","3.51","Sep 10, 2050","2.19","2.19","6.33","1,000,000.00"
"MSBAM_17-C34 A4","Fixed Income","0.25","108.66","1,089,233.00","1,089,233.00","Non-Agency CMBS","-","US61767EAE41","3.54","Nov 15, 2052","2.26","2.26","6.52","1,000,000.00"
"BACM_17-BNK3 A4","Fixed Income","0.25","108.62","1,088,882.50","1,088,882.50","Non-Agency CMBS","-","US06427DAS27","3.57","Feb 15, 2050","2.16","2.16","5.89","1,000,000.00"
"FHMS_K733 A2","Fixed Income","0.25","108.57","1,088,499.50","1,088,499.50","Agency CMBS","-","US3137FJXQ70","3.75","Aug 25, 2025","1.93","1.93","4.62","1,000,000.00"
"MSC_17-H1 A5","Fixed Income","0.25","108.54","1,088,067.50","1,088,067.50","Non-Agency CMBS","-","US61691JAV61","3.53","Jun 15, 2050","2.21","2.21","6.23","1,000,000.00"
"CCUBS_17-C1 A4","Fixed Income","0.25","108.50","1,087,700.00","1,087,700.00","Non-Agency CMBS","-","US12508GAU04","3.54","Nov 15, 2050","2.31","2.31","6.61","1,000,000.00"
"FHMS_K071 A2","Fixed Income","0.25","108.38","1,086,255.50","1,086,255.50","Agency CMBS","-","US3137FCLD43","3.29","Nov 25, 2027","2.06","2.06","6.67","1,000,000.00"
"FHMS_K732 A2","Fixed Income","0.25","108.25","1,085,237.00","1,085,237.00","Agency CMBS","-","US3137FG7F62","3.70","May 25, 2025","1.90","1.90","4.50","1,000,000.00"
