iShares Core U.S. Aggregate Bond ETF
Fund Holdings as of,"Jan 28, 2020"
Inception Date,"Sep 22, 2003"
Shares Outstanding,"631,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Asset Class,Weight (%),Price,Market Value,Notional Value,Sector,SEDOL,ISIN,Coupon (%),Maturity,YTM (%),Yield to Worst (%),Duration,Par Value
"TREASURY BOND","Fixed Income","0.47","107.52","335,517,873.80","335,517,873.80","Treasury","BVVT273","US912810RK60","2.50","Feb 15, 2045","2.11","2.11","18.49","308,824,000.00"
"GNMA2 30YR TBA(REG C)","Fixed Income","0.46","102.70","329,248,963.36","329,248,963.36","MBS Pass-Through","-","US21H0306256","3.00","Feb 20, 2020","2.36","2.36","3.71","320,093,230.00"
"TREASURY NOTE","Fixed Income","0.46","104.91","329,207,998.24","329,207,998.24","Treasury","BF92XX5","US9128283F58","2.25","Nov 15, 2027","1.58","1.58","7.13","312,450,000.00"
"TREASURY BOND","Fixed Income","0.45","118.77","326,872,674.78","326,872,674.78","Treasury","BF0T9Z9","US912810RX81","3.00","May 15, 2047","2.09","2.09","19.11","273,818,000.00"
"TREASURY NOTE","Fixed Income","0.45","108.75","323,044,266.39","323,044,266.39","Treasury","BG0D0D3","US9128283W81","2.75","Feb 15, 2028","1.59","1.59","7.17","293,702,000.00"
"TREASURY NOTE","Fixed Income","0.45","102.63","322,113,456.32","322,113,456.32","Treasury","BYS2RD7","US912828K742","2.00","Aug 15, 2025","1.50","1.50","5.20","311,115,000.00"
"TREASURY NOTE","Fixed Income","0.43","102.22","312,745,893.46","312,745,893.46","Treasury","BD2Z8L0","US912828X703","2.00","Apr 30, 2024","1.46","1.46","4.05","304,500,000.00"
"GNMA2 30YR 2016 PRODUCTION","Fixed Income","0.43","104.66","309,316,072.73","309,316,072.73","MBS Pass-Through","-","-","3.50","Dec 20, 2046","2.38","2.38","2.45","294,804,049.00"
"TREASURY BOND","Fixed Income","0.42","113.58","299,676,256.63","299,676,256.63","Treasury","BF53YK6","US912810RY64","2.75","Aug 15, 2047","2.10","2.10","19.44","261,000,000.00"
"TREASURY NOTE","Fixed Income","0.41","103.22","294,679,808.62","294,679,808.62","Treasury","BXC4FY9","US912828XB14","2.13","May 15, 2025","1.49","1.49","4.98","284,300,000.00"
"TREASURY NOTE","Fixed Income","0.41","101.01","293,926,644.59","293,926,644.59","Treasury","BQXKZK3","US912828F213","2.13","Sep 30, 2021","1.51","1.51","1.63","289,000,000.00"
"TREASURY NOTE","Fixed Income","0.40","102.52","288,968,993.18","288,968,993.18","Treasury","BVVT3Q9","US912828J272","2.00","Feb 15, 2025","1.48","1.48","4.76","279,418,000.00"
"FNMA 30YR 2019 PRODUCTION","Fixed Income","0.40","102.08","287,177,445.44","287,177,445.44","MBS Pass-Through","-","-","3.00","Nov 01, 2049","2.46","2.46","3.45","280,704,128.00"
"TREASURY NOTE","Fixed Income","0.39","99.77","283,755,583.38","283,755,583.38","Treasury","BD59XC5","US912828S356","1.38","Jun 30, 2023","1.44","1.44","3.32","284,100,000.00"
"GNMA2 30YR 2017 PRODUCTION","Fixed Income","0.39","103.19","282,651,029.91","282,651,029.91","MBS Pass-Through","-","-","3.00","Dec 20, 2046","2.33","2.33","3.71","273,327,554.00"
"TREASURY NOTE","Fixed Income","0.39","104.63","281,741,735.05","281,741,735.05","Treasury","BYPG9T2","US912828V988","2.25","Feb 15, 2027","1.55","1.55","6.46","266,700,000.00"
"FNMA 30YR 2015 PRODUCTION","Fixed Income","0.39","104.88","278,885,593.60","278,885,593.60","MBS Pass-Through","-","-","3.50","Dec 01, 2045","2.37","2.37","1.95","265,257,209.00"
"TREASURY BOND","Fixed Income","0.39","115.14","277,849,879.22","277,849,879.22","Treasury","BYSJ1Z8","US912810RN00","2.88","Aug 15, 2045","2.11","2.11","18.27","238,625,000.00"
"TREASURY NOTE","Fixed Income","0.39","101.23","277,730,826.15","277,730,826.15","Treasury","BJXXZS1","US9128286Z85","1.75","Jun 30, 2024","1.46","1.46","4.24","274,000,000.00"
"TREASURY NOTE","Fixed Income","0.38","109.89","273,972,556.97","273,972,556.97","Treasury","BD59D36","US9128284N73","2.88","May 15, 2028","1.60","1.60","7.39","247,994,000.00"
"TREASURY NOTE","Fixed Income","0.38","104.00","272,888,110.09","272,888,110.09","Treasury","BPYD731","US912828D564","2.38","Aug 15, 2024","1.46","1.46","4.27","259,717,000.00"
"TREASURY NOTE","Fixed Income","0.38","102.88","271,241,013.82","271,241,013.82","Treasury","BD36HF9","US9128282N91","2.13","Jul 31, 2024","1.46","1.46","4.25","261,009,000.00"
"TREASURY NOTE","Fixed Income","0.38","100.59","270,768,695.44","270,768,695.44","Treasury","BVYY5G5","US912828J439","1.75","Feb 28, 2022","1.46","1.46","2.03","267,275,000.00"
"FGOLD 30YR 2017 PRODUCTION","Fixed Income","0.35","105.62","254,390,069.45","254,390,069.45","MBS Pass-Through","-","-","4.00","Feb 01, 2047","2.47","2.47","1.31","240,181,644.00"
"TREASURY NOTE","Fixed Income","0.35","100.57","254,159,137.61","254,159,137.61","Treasury","BD2C0G0","US912828P469","1.63","Feb 15, 2026","1.53","1.53","5.71","250,890,000.00"
"TREASURY NOTE","Fixed Income","0.35","101.70","250,753,804.92","250,753,804.92","Treasury","BJRF884","US9128286M72","2.25","Apr 15, 2022","1.46","1.46","2.14","245,000,000.00"
"TREASURY NOTE","Fixed Income","0.34","105.27","245,308,578.58","245,308,578.58","Treasury","BGSLD29","US9128285P13","2.88","Nov 30, 2023","1.46","1.46","3.63","232,000,000.00"
"TREASURY NOTE","Fixed Income","0.34","103.04","244,540,373.85","244,540,373.85","Treasury","BDG08X3","US912828V236","2.25","Dec 31, 2023","1.45","1.45","3.75","236,930,000.00"
"TREASURY NOTE","Fixed Income","0.34","103.59","244,485,453.84","244,485,453.84","Treasury","BSJWZX0","US912828G385","2.25","Nov 15, 2024","1.47","1.47","4.53","234,966,000.00"
"GNMA2 30YR 2019 PRODUCTION","Fixed Income","0.34","103.78","242,532,712.33","242,532,712.33","MBS Pass-Through","-","-","3.50","Aug 20, 2049","2.31","2.31","1.92","233,100,308.00"
"FNMA 30YR 2017 PRODUCTION","Fixed Income","0.32","104.19","230,675,118.87","230,675,118.87","MBS Pass-Through","-","-","3.50","Jun 01, 2047","2.47","2.47","1.95","220,844,238.00"
"TREASURY NOTE","Fixed Income","0.32","102.26","230,549,458.83","230,549,458.83","Treasury","BDZZ3J0","US912828XT22","2.00","May 31, 2024","1.46","1.46","4.14","224,750,000.00"
"TREASURY NOTE","Fixed Income","0.32","99.82","228,919,562.30","228,919,562.30","Treasury","BDHLRB6","US912828N894","1.38","Jan 31, 2021","1.55","1.55","0.99","227,780,000.00"
"UMBS 30YR TBA(REG A)","Fixed Income","0.32","104.39","228,544,498.77","228,544,498.77","MBS Pass-Through","-","US01F0406284","4.00","Feb 12, 2020","2.13","2.13","1.31","218,675,201.00"
"TREASURY BOND","Fixed Income","0.32","117.78","227,547,290.79","227,547,290.79","Treasury","BYQP1M5","US912810RP57","3.00","Nov 15, 2045","2.10","2.10","18.36","192,200,000.00"
"FGOLD 30YR 2017 PRODUCTION","Fixed Income","0.32","104.25","227,088,199.98","227,088,199.98","MBS Pass-Through","-","-","3.50","Feb 01, 2047","2.45","2.45","1.95","217,275,184.00"
"FNMA 15YR 2016 PRODUCTION","Fixed Income","0.31","101.75","226,363,152.85","226,363,152.85","MBS Pass-Through","-","-","2.50","Oct 01, 2031","1.97","1.97","3.38","222,050,924.00"
"TREASURY NOTE","Fixed Income","0.31","102.68","221,226,183.61","221,226,183.61","Treasury","BD0NPC6","US912828W713","2.13","Mar 31, 2024","1.46","1.46","3.96","214,000,000.00"
"TREASURY NOTE","Fixed Income","0.31","100.82","219,538,117.11","219,538,117.11","Treasury","B5TCBD1","US912828PC88","2.63","Nov 15, 2020","1.58","1.58","0.79","216,606,000.00"
"GNMA2 30YR 2018 PRODUCTION","Fixed Income","0.31","105.40","219,495,012.02","219,495,012.02","MBS Pass-Through","-","-","4.50","Apr 20, 2048","2.60","2.60","1.09","207,582,476.00"
"TREASURY NOTE (2OLD)","Fixed Income","0.30","100.17","218,851,884.25","218,851,884.25","Treasury","BJR5GR9","US912828YV68","1.50","Nov 30, 2024","1.46","1.46","4.65","217,950,000.00"
"TREASURY NOTE","Fixed Income","0.30","104.52","218,460,128.27","218,460,128.27","Treasury","BG0MND1","US9128284X55","2.75","Aug 31, 2023","1.45","1.45","3.39","206,765,000.00"
"TREASURY NOTE","Fixed Income","0.30","102.06","217,663,942.34","217,663,942.34","Treasury","BJ7G9D9","US9128286C90","2.50","Feb 15, 2022","1.48","1.48","1.98","210,950,000.00"
"TREASURY NOTE","Fixed Income","0.29","101.03","211,552,920.45","211,552,920.45","Treasury","BD36HC6","US9128282P40","1.88","Jul 31, 2022","1.45","1.45","2.42","207,500,000.00"
"TREASURY NOTE","Fixed Income","0.29","100.97","211,266,196.84","211,266,196.84","Treasury","B8W8CY5","US912828VB32","1.75","May 15, 2023","1.45","1.45","3.18","208,504,000.00"
"TREASURY NOTE","Fixed Income","0.29","104.81","206,097,976.66","206,097,976.66","Treasury","BF53YJ5","US9128282R06","2.25","Aug 15, 2027","1.57","1.57","6.88","194,750,000.00"
"TREASURY NOTE","Fixed Income","0.29","100.71","205,056,905.82","205,056,905.82","Treasury","BSQXQH7","US912828G534","1.88","Nov 30, 2021","1.48","1.48","1.80","203,000,000.00"
"TREASURY BOND","Fixed Income","0.28","117.25","201,807,954.04","201,807,954.04","Treasury","BSJWZQ3","US912810RJ97","3.00","Nov 15, 2044","2.10","2.10","17.86","171,227,000.00"
"TREASURY NOTE","Fixed Income","0.28","112.34","201,685,001.32","201,685,001.32","Treasury","BGRW840","US9128285M81","3.13","Nov 15, 2028","1.61","1.61","7.72","178,515,000.00"
"TREASURY NOTE","Fixed Income","0.27","103.09","196,626,640.91","196,626,640.91","Treasury","BYQFT32","US912828V806","2.25","Jan 31, 2024","1.45","1.45","3.79","188,700,000.00"
"TREASURY BOND","Fixed Income","0.27","124.30","195,223,643.40","195,223,643.40","Treasury","BM7S970","US912810RG58","3.38","May 15, 2044","2.09","2.09","17.22","156,200,000.00"
"TREASURY BOND","Fixed Income","0.27","119.58","194,208,160.67","194,208,160.67","Treasury","BPYD753","US912810RH32","3.13","Aug 15, 2044","2.10","2.10","17.48","160,519,000.00"
"FNMA 30YR 2018 PRODUCTION","Fixed Income","0.27","104.61","191,744,714.37","191,744,714.37","MBS Pass-Through","-","-","4.00","Feb 01, 2048","2.48","2.48","1.31","182,773,810.00"
"TREASURY NOTE","Fixed Income","0.27","105.09","191,270,721.30","191,270,721.30","Treasury","BJT0TY0","US912828B667","2.75","Feb 15, 2024","1.45","1.45","3.79","179,890,000.00"
"UMBS 15YR TBA(REG B)","Fixed Income","0.26","101.44","190,623,700.25","190,623,700.25","MBS Pass-Through","-","US01F0224281","2.50","Feb 18, 2020","2.14","2.14","3.38","187,701,090.00"
"TREASURY BOND (OTR)","Fixed Income","0.26","106.17","188,470,613.22","188,470,613.22","Treasury","BKVKB94","US912810SK51","2.38","Nov 15, 2049","2.10","2.10","21.24","176,700,000.00"
"GNMA2 30YR 2012 PRODUCTION","Fixed Income","0.26","105.59","188,412,807.40","188,412,807.40","MBS Pass-Through","-","-","3.50","Aug 20, 2042","2.42","2.42","2.45","177,987,375.00"
"UMBS 30YR TBA(REG A)","Fixed Income","0.26","105.80","186,798,534.38","186,798,534.38","MBS Pass-Through","-","US01F0426241","4.50","Feb 12, 2020","1.93","1.93","0.85","176,329,000.00"
"FNMA 30YR 2016 PRODUCTION","Fixed Income","0.26","104.49","186,586,894.59","186,586,894.59","MBS Pass-Through","-","-","3.50","Feb 01, 2046","2.48","2.48","1.95","178,125,914.00"
"TREASURY NOTE (2OLD)","Fixed Income","0.26","100.45","186,573,113.14","186,573,113.14","Treasury","BKZ7NK6","US912828YQ73","1.63","Oct 31, 2026","1.55","1.55","6.36","185,000,000.00"
"TREASURY NOTE","Fixed Income","0.26","100.55","186,378,167.68","186,378,167.68","Treasury","BJ8S161","US912828B584","2.13","Jan 31, 2021","1.57","1.57","0.99","183,450,000.00"
"TREASURY BOND","Fixed Income","0.26","117.47","185,620,015.25","185,620,015.25","Treasury","BXC4FZ0","US912810RM27","3.00","May 15, 2045","2.11","2.11","18.11","157,200,000.00"
"TREASURY NOTE","Fixed Income","0.26","101.53","184,762,075.53","184,762,075.53","Treasury","BYWKSB2","US912828M805","2.00","Nov 30, 2022","1.45","1.45","2.75","181,400,000.00"
"TREASURY NOTE","Fixed Income","0.25","102.88","181,775,604.40","181,775,604.40","Treasury","BZ1BP78","US912828U246","2.00","Nov 15, 2026","1.55","1.55","6.33","176,000,000.00"
"TREASURY NOTE","Fixed Income","0.25","103.66","181,601,708.45","181,601,708.45","Treasury","BCZP0C5","US912828VS66","2.50","Aug 15, 2023","1.44","1.44","3.36","173,311,000.00"
"TREASURY NOTE","Fixed Income","0.25","100.54","181,564,842.86","181,564,842.86","Treasury","BYZ2XV0","US912828R366","1.63","May 15, 2026","1.53","1.53","5.94","180,000,000.00"
"GNMA2 30YR TBA(REG C)","Fixed Income","0.25","103.17","181,150,125.29","181,150,125.29","MBS Pass-Through","-","US21H0326213","3.50","Feb 20, 2020","2.54","2.54","2.45","175,268,598.00"
"TREASURY NOTE","Fixed Income","0.25","100.80","179,122,151.46","179,122,151.46","Treasury","BYXJBX1","US912828L575","1.75","Sep 30, 2022","1.44","1.44","2.59","176,700,000.00"
"GNMA2 30YR 2015 PRODUCTION","Fixed Income","0.25","103.57","178,092,852.78","178,092,852.78","MBS Pass-Through","-","-","3.00","Jun 20, 2045","2.26","2.26","3.71","171,575,225.00"
"TREASURY NOTE","Fixed Income","0.25","108.41","177,087,743.76","177,087,743.76","Treasury","BJ7G9F1","US9128286B18","2.63","Feb 15, 2029","1.62","1.62","8.00","161,591,000.00"
"TREASURY NOTE","Fixed Income","0.24","102.72","175,569,264.21","175,569,264.21","Treasury","BFMTY74","US9128283U26","2.38","Jan 31, 2023","1.45","1.45","2.87","169,000,000.00"
"TREASURY NOTE","Fixed Income","0.24","100.84","174,995,427.12","174,995,427.12","Treasury","BNGY448","US912828WR74","2.13","Jun 30, 2021","1.52","1.52","1.39","173,250,000.00"
"TREASURY NOTE","Fixed Income","0.24","100.88","174,324,454.84","174,324,454.84","Treasury","BLT2LR7","US912828WG10","2.25","Apr 30, 2021","1.54","1.54","1.23","171,875,000.00"
"FNMA 30YR 2013 PRODUCTION","Fixed Income","0.24","103.51","172,771,125.64","172,771,125.64","MBS Pass-Through","-","-","3.00","Apr 01, 2043","2.35","2.35","3.07","166,556,728.00"
"UMBS 30YR TBA(REG A)","Fixed Income","0.24","100.11","171,983,889.31","171,983,889.31","MBS Pass-Through","-","US01F0226260","2.50","Feb 12, 2020","2.46","2.46","4.71","171,660,500.00"
"TREASURY NOTE","Fixed Income","0.23","100.80","168,757,327.57","168,757,327.57","Treasury","BKXH1X7","US912828C574","2.25","Mar 31, 2021","1.56","1.56","1.14","166,200,000.00"
"TREASURY NOTE","Fixed Income","0.23","100.05","168,124,493.39","168,124,493.39","Treasury","BYVX7L5","US912828M987","1.63","Nov 30, 2020","1.56","1.56","0.83","167,600,000.00"
"TREASURY NOTE","Fixed Income","0.23","100.87","167,850,821.28","167,850,821.28","Treasury","BD0N7Z3","US912828W895","1.88","Mar 31, 2022","1.47","1.47","2.11","165,400,000.00"
"TREASURY BOND","Fixed Income","0.23","114.52","167,107,478.01","167,107,478.01","Treasury","B8W8CX4","US912810RB61","2.88","May 15, 2043","2.09","2.09","17.21","145,184,000.00"
"TREASURY NOTE","Fixed Income","0.23","103.62","166,830,155.52","166,830,155.52","Treasury","BJKRNW6","US9128286G05","2.38","Feb 29, 2024","1.46","1.46","3.86","159,500,000.00"
"TREASURY NOTE","Fixed Income","0.23","101.13","165,327,100.41","165,327,100.41","Treasury","BYN94Z4","US9128282W90","1.88","Sep 30, 2022","1.44","1.44","2.58","162,500,000.00"
"TREASURY BOND","Fixed Income","0.23","107.78","165,323,433.00","165,323,433.00","Treasury","BD2C0D7","US912810RQ31","2.50","Feb 15, 2046","2.11","2.11","19.02","151,800,000.00"
"TREASURY NOTE","Fixed Income","0.23","101.09","163,992,450.38","163,992,450.38","Treasury","BYXYL70","US912828L245","1.88","Aug 31, 2022","1.45","1.45","2.50","161,000,000.00"
"TREASURY BOND","Fixed Income","0.23","128.95","161,864,061.77","161,864,061.77","Treasury","BJT0ZC0","US912810RE01","3.63","Feb 15, 2044","2.09","2.09","16.75","123,950,000.00"
"TREASURY NOTE","Fixed Income","0.22","100.02","161,114,326.98","161,114,326.98","Treasury","BKZ7ND9","US912828YP90","1.50","Oct 31, 2021","1.49","1.49","1.72","160,500,000.00"
"TREASURY NOTE","Fixed Income","0.22","101.24","160,148,137.80","160,148,137.80","Treasury","BJVN8Q2","US912828Y875","1.75","Jul 31, 2024","1.46","1.46","4.29","156,850,000.00"
"TREASURY NOTE","Fixed Income","0.22","101.14","160,019,130.29","160,019,130.29","Treasury","BZ1JYD1","US912828M490","1.88","Oct 31, 2022","1.45","1.45","2.67","157,500,000.00"
"TREASURY NOTE (2OLD)","Fixed Income","0.22","106.39","159,242,006.21","159,242,006.21","Treasury","BK1WFV0","US9128286T26","2.38","May 15, 2029","1.63","1.63","8.32","149,000,000.00"
"TREASURY NOTE","Fixed Income","0.22","104.07","155,828,428.86","155,828,428.86","Treasury","BYQ26R6","US912828M565","2.25","Nov 15, 2025","1.51","1.51","5.42","149,079,000.00"
"TREASURY NOTE","Fixed Income","0.21","100.97","152,919,593.69","152,919,593.69","Treasury","BY8L2B7","US912828XD79","1.88","May 31, 2022","1.45","1.45","2.28","151,000,000.00"
"TREASURY NOTE","Fixed Income","0.21","103.25","151,236,800.14","151,236,800.14","Treasury","BK1LRG6","US9128286R69","2.25","Apr 30, 2024","1.46","1.46","4.03","145,700,000.00"
"TREASURY BOND","Fixed Income","0.21","147.48","148,366,806.54","148,366,806.54","Treasury","B3RFGR7","US912810QN19","4.75","Feb 15, 2041","1.98","1.98","14.51","99,158,000.00"
"TREASURY BOND","Fixed Income","0.21","114.39","147,665,032.45","147,665,032.45","Treasury","2912987","US912810EM63","7.25","Aug 15, 2022","1.48","1.48","2.30","125,500,000.00"
"FNMA 30YR 2019 PRODUCTION","Fixed Income","0.20","104.61","143,271,761.42","143,271,761.42","MBS Pass-Through","-","-","4.00","Jul 01, 2049","2.42","2.42","1.99","136,561,277.00"
"GNMA2 30YR TBA(REG C)","Fixed Income","0.20","103.77","142,567,084.32","142,567,084.32","MBS Pass-Through","-","US21H0406247","4.00","Feb 20, 2020","2.44","2.44","1.20","137,106,000.00"
"TREASURY NOTE","Fixed Income","0.20","99.07","140,962,723.05","140,962,723.05","Treasury","BKVBKC3","US912828YE44","1.25","Aug 31, 2024","1.46","1.46","4.43","141,550,000.00"
"TREASURY NOTE","Fixed Income","0.19","101.34","140,188,943.04","140,188,943.04","Treasury","BYVVV84","US912828XQ82","2.00","Jul 31, 2022","1.45","1.45","2.42","137,000,000.00"
"UMBS 15YR TBA(REG B)","Fixed Income","0.19","102.78","139,772,764.22","139,772,764.22","MBS Pass-Through","-","US01F0304216","3.00","Feb 18, 2020","2.18","2.18","2.55","135,807,634.00"
"GNMA2 30YR 2019 PRODUCTION","Fixed Income","0.19","105.41","138,249,589.91","138,249,589.91","MBS Pass-Through","-","-","4.50","Mar 20, 2049","2.40","2.40","1.48","130,737,665.00"
"TREASURY BOND","Fixed Income","0.19","137.42","137,988,031.18","137,988,031.18","Treasury","2724610","US912810FP85","5.38","Feb 15, 2031","1.65","1.65","8.68","98,671,000.00"
"TREASURY NOTE","Fixed Income","0.19","100.16","137,721,793.00","137,721,793.00","Treasury","BYXFJ13","US912828P790","1.50","Feb 28, 2023","1.45","1.45","2.99","136,653,000.00"
"TREASURY NOTE","Fixed Income","0.19","100.91","136,219,226.73","136,219,226.73","Treasury","BD2Z8K9","US912828X471","1.88","Apr 30, 2022","1.46","1.46","2.20","134,375,000.00"
"TREASURY NOTE","Fixed Income","0.19","100.15","135,863,720.93","135,863,720.93","Treasury","BJYQBF8","US912828YH74","1.50","Sep 30, 2024","1.47","1.47","4.48","135,000,000.00"
"FNMA 30YR 3.5% SHLB 175K 2015","Fixed Income","0.19","105.39","135,043,220.47","135,043,220.47","MBS Pass-Through","-","-","3.50","May 01, 2045","2.42","2.42","1.95","127,823,606.00"
"TREASURY NOTE","Fixed Income","0.19","101.62","134,859,111.54","134,859,111.54","Treasury","BZ56VG0","US912828XG01","2.13","Jun 30, 2022","1.44","1.44","2.35","132,500,000.00"
"FNMA 15YR 2015 PRODUCTION","Fixed Income","0.19","103.18","134,683,827.24","134,683,827.24","MBS Pass-Through","-","-","3.00","Aug 01, 2030","2.00","2.00","2.55","130,243,564.00"
"TREASURY NOTE","Fixed Income","0.19","100.61","134,244,087.81","134,244,087.81","Treasury","BMTSDM1","US912828WN60","2.00","May 31, 2021","1.54","1.54","1.32","133,000,000.00"
"TREASURY BOND","Fixed Income","0.19","129.86","134,038,426.03","134,038,426.03","Treasury","2307271","US912810FF04","5.25","Nov 15, 2028","1.60","1.60","7.27","102,377,000.00"
"TREASURY BOND","Fixed Income","0.19","112.27","133,787,963.18","133,787,963.18","Treasury","B8JB195","US912810QY73","2.75","Nov 15, 2042","2.07","2.07","17.09","118,580,000.00"
"FNMA 30YR 2017 PRODUCTION","Fixed Income","0.19","105.54","133,712,858.79","133,712,858.79","MBS Pass-Through","-","-","4.00","Apr 01, 2047","2.49","2.49","1.31","126,331,917.00"
"TREASURY BOND","Fixed Income","0.19","138.44","133,365,394.91","133,365,394.91","Treasury","B5M0864","US912810QL52","4.25","Nov 15, 2040","1.98","1.98","14.80","95,739,000.00"
"TREASURY NOTE","Fixed Income","0.18","101.48","132,564,914.29","132,564,914.29","Treasury","BF2K392","US9128283C28","2.00","Oct 31, 2022","1.45","1.45","2.66","130,000,000.00"
"TREASURY NOTE","Fixed Income","0.18","100.72","132,319,943.38","132,319,943.38","Treasury","BF1TTC5","US912828XW50","1.75","Jun 30, 2022","1.45","1.45","2.36","131,200,000.00"
"TREASURY BOND","Fixed Income","0.18","131.14","129,613,318.91","129,613,318.91","Treasury","2285269","US912810FE39","5.50","Aug 15, 2028","1.59","1.59","6.98","97,000,000.00"
"TREASURY BOND","Fixed Income","0.18","107.84","127,332,303.95","127,332,303.95","Treasury","BYZ2TS9","US912810RS96","2.50","May 15, 2046","2.11","2.11","19.26","117,517,000.00"
"TREASURY BOND","Fixed Income","0.18","118.73","127,292,496.52","127,292,496.52","Treasury","BDRJ2Q0","US912810RV26","3.00","Feb 15, 2047","2.09","2.09","18.88","106,000,000.00"
"FGOLD 30YR 3.5% FICO <660 2017","Fixed Income","0.18","103.82","127,015,106.80","127,015,106.80","MBS Pass-Through","-","-","3.50","Feb 01, 2048","2.43","2.43","1.95","122,028,899.00"
"TREASURY NOTE","Fixed Income","0.17","99.38","124,480,327.87","124,480,327.87","Treasury","BDQPS49","US912828T347","1.13","Sep 30, 2021","1.50","1.50","1.64","124,800,000.00"
"TREASURY NOTE","Fixed Income","0.17","105.59","123,685,583.40","123,685,583.40","Treasury","BF0T9Y8","US912828X885","2.38","May 15, 2027","1.56","1.56","6.68","116,600,000.00"
"TREASURY NOTE","Fixed Income","0.17","101.66","122,997,355.76","122,997,355.76","Treasury","B9CDBG2","US912828UN88","2.00","Feb 15, 2023","1.44","1.44","2.93","119,920,000.00"
"TREASURY NOTE","Fixed Income","0.17","100.91","122,336,719.59","122,336,719.59","Treasury","B4WLSH1","US912828RC60","2.13","Aug 15, 2021","1.53","1.53","1.51","120,088,000.00"
"TREASURY NOTE","Fixed Income","0.17","105.07","119,794,263.93","119,794,263.93","Treasury","BGMJP56","US9128285D82","2.88","Sep 30, 2023","1.45","1.45","3.46","113,000,000.00"
