Name|Asset Class|Weight|Price|Market Value|Notional Value|Sector_|SEDOL|ISIN|Coupon|Maturity_|YTM_|Yield to Worst|Duration|Par Value
PFSFC_19-A A1 144A|Fixed Income|0.62|100.16|40,102,320.17|40,102,320.17|ABS|--|US69335PDD42|2.23|Apr 15, 2024|2.14|2.14|0.05|40,000,000.00
ENERGY TRANSFER PARTNERS LP|Fixed Income|0.59|101.06|38,355,589.59|38,355,589.59|Industrial|BDWGZT0|US29273RAX70|4.15|Oct 01, 2020|2.54|2.02|0.49|37,445,000.00
NAVSL_19-FA A1 144A|Fixed Income|0.59|100.25|37,991,962.68|37,991,962.68|ABS|--|US63935CAA99|2.18|Aug 15, 2068|1.97|1.97|1.13|37,864,294.00
BELLSOUTH CORP 144A|Fixed Income|0.56|100.46|36,470,293.30|36,470,293.30|Industrial|B4QKXM4|US079860AA01|4.33|Apr 26, 2020|4.41|2.81|0.24|35,000,000.00
MARRIOTT INTERNATIONAL INC|Fixed Income|0.55|101.82|35,956,010.42|35,956,010.42|Industrial|BVXD6J3|US571903AM51|3.13|Oct 15, 2021|2.03|1.85|1.42|35,000,000.00
GENERAL ELECTRIC CO|Fixed Income|0.55|102.47|35,454,437.71|35,454,437.71|Industrial|B3V4ST6|US36962G4Y78|4.63|Jan 07, 2021|1.95|1.95|0.92|34,500,000.00
AERCAP IRELAND CAPITAL LTD / AERCA|Fixed Income|0.55|100.77|35,390,726.39|35,390,726.39|Financial Institutions|BYRY4R7|US00772BAN10|4.25|Jul 01, 2020|2.38|2.38|0.41|35,000,000.00
BROADCOM CORPORATION/BROADCOM CAYM|Fixed Income|0.54|100.31|35,139,533.33|35,139,533.33|Industrial|BD5FD78|US11134LAK52|2.20|Jan 15, 2021|1.87|1.87|0.95|35,000,000.00
BLK CSH FND TREASURY SL AGENCY|Money Market|0.54|1.00|34,845,000.00|34,845,000.00|Cash and/or Derivatives|--|US0669224778|1.66|--|1.61|1.61|0.11|34,845,000.00
NISSAN MOTOR ACCEPTANCE CORP.|Cash|0.54|99.27|34,744,134.46|34,744,134.46|Cash and/or Derivatives|--|--|0.00|Jun 12, 2020|1.98|1.98|0.36|35,000,000.00
BAMLL_18-DSNY A 144A|Fixed Income|0.53|99.66|34,638,074.83|34,638,074.83|CMBS|--|US054967AA22|2.53|Sep 15, 2034|2.65|2.65|0.04|34,720,000.00
MSC_17-CLS A 144A|Fixed Income|0.53|99.91|34,514,978.53|34,514,978.53|CMBS|--|US61691LAA70|2.38|Nov 15, 2034|2.40|2.40|0.04|34,512,000.00
SANTANDER UK GROUP HOLDINGS PLC|Fixed Income|0.52|100.69|33,501,453.33|33,501,453.33|Financial Institutions|BYZDT48|US80281LAC90|2.88|Oct 16, 2020|1.89|1.89|0.70|33,000,000.00
PRK_17-280P A 144A|Fixed Income|0.51|100.08|33,066,741.22|33,066,741.22|CMBS|--|US90205FAA84|2.58|Sep 15, 2034|2.58|2.58|0.05|33,000,000.00
NOMURA HOLDINGS INC|Fixed Income|0.51|100.42|32,840,241.34|32,840,241.34|Financial Institutions|B62F2C0|US65535HAB50|6.70|Mar 04, 2020|2.17|2.17|0.09|31,841,000.00
JPMORGAN CHASE BANK NA|Fixed Income|0.51|100.30|32,759,250.84|32,759,250.84|Financial Institutions|BG0WP24|US48125LRN46|3.09|Apr 26, 2021|2.05|1.80|0.24|32,400,000.00
SPECTRA ENERGY PARTNERS LP|Fixed Income|0.50|100.19|32,188,135.56|32,188,135.56|Industrial|BF6SRL2|US84756NAJ81|2.59|Jun 05, 2020|1.95|1.95|0.10|32,000,000.00
SUNTRUST BANK|Fixed Income|0.50|100.22|32,097,529.31|32,097,529.31|Financial Institutions|--|US86787EAZ07|2.29|Oct 26, 2021|2.17|2.00|0.24|32,020,000.00
SWEDBANK (NEW YORK BRANCH)|Cash|0.49|100.02|32,017,057.37|32,017,057.37|Cash and/or Derivatives|--|--|1.77|Jul 22, 2020|1.73|1.73|0.47|32,000,000.00
BROADCOM INC 144A|Fixed Income|0.49|101.37|31,502,073.17|31,502,073.17|Industrial|BGQ0M09|US11135FAA93|3.13|Apr 15, 2021|1.97|1.97|1.17|30,800,000.00
CIGNA CORP|Fixed Income|0.47|100.84|30,606,666.67|30,606,666.67|Industrial|--|US125523AD24|3.20|Sep 17, 2020|1.85|1.85|0.62|30,000,000.00
WELLS FARGO & COMPANY|Fixed Income|0.47|101.32|30,551,106.18|30,551,106.18|Financial Institutions|BD3Z303|US949746RT05|3.24|Mar 04, 2021|1.93|1.93|0.10|30,000,000.00
CITIZENS BANK NA MTN|Fixed Income|0.47|100.73|30,387,710.21|30,387,710.21|Financial Institutions|BJ5CNP9|US17401QAT85|2.63|Feb 14, 2022|2.16|2.15|0.05|30,000,000.00
COMET_17-A4 A4|Fixed Income|0.47|100.22|30,285,128.05|30,285,128.05|ABS|BF4NVQ2|US14041NFN66|1.99|Jul 17, 2023|1.65|1.65|0.62|30,195,000.00
ROLLS-ROYCE PLC 144A|Fixed Income|0.47|100.11|30,242,868.17|30,242,868.17|Industrial|BZBWT80|US77578JAA60|2.38|Oct 14, 2020|2.21|2.19|0.63|30,000,000.00
ABBVIE INC 144A|Fixed Income|0.47|100.24|30,201,436.75|30,201,436.75|Industrial|--|US00287YBT55|2.24|May 21, 2021|1.96|1.96|0.06|30,000,000.00
WELLS FARGO BANK NA|Fixed Income|0.47|100.51|30,166,914.20|30,166,914.20|Financial Institutions|BGKG678|US94988J5U79|2.31|Oct 22, 2021|2.01|1.99|0.23|30,000,000.00
SYNCHRONY BANK|Fixed Income|0.46|100.09|30,093,192.08|30,093,192.08|Financial Institutions|BFZ0WN6|US87166FAB94|2.59|Mar 30, 2020|2.05|2.05|0.16|30,000,000.00
AREIT_19-CRE3 A 144A|Fixed Income|0.46|100.00|30,044,791.17|30,044,791.17|CMBS|--|US00217LAA08|2.69|Sep 14, 2036|2.69|2.69|0.04|30,000,000.00
TRI-PARTY MIZUHO SECURITIES USA LL|Cash|0.46|100.00|30,000,000.00|30,000,000.00|Cash and/or Derivatives|--|--|2.32|--|2.40|2.40|0.00|30,000,000.00
BROADCOM INC|Cash|0.46|99.95|29,984,716.68|29,984,716.68|Cash and/or Derivatives|--|--|0.00|Feb 06, 2020|2.62|2.62|0.02|30,000,000.00
BX_18-IND A 144A|Fixed Income|0.44|100.00|28,301,448.27|28,301,448.27|CMBS|--|US056059AA67|2.43|Nov 15, 2035|2.42|2.42|0.04|28,272,897.00
BANK OF AMERICA CORP MTN|Fixed Income|0.43|101.31|27,874,187.37|27,874,187.37|Financial Institutions|BYWMBG4|US06051GGJ22|2.80|Apr 24, 2023|2.39|2.20|0.25|27,500,000.00
BANK OF AMERICA CORP|Fixed Income|0.43|100.30|27,794,121.67|27,794,121.67|Financial Institutions|BF3FXK7|US06051GGS21|2.33|Oct 01, 2021|2.18|1.87|0.66|27,500,000.00
DELL INTERNATIONAL LLC 144A|Fixed Income|0.42|109.32|27,500,812.50|27,500,812.50|Industrial|BD96MG9|US25272KAG85|5.45|Jun 15, 2023|2.55|2.41|2.96|25,000,000.00
AT&T INC|Fixed Income|0.42|100.92|27,489,319.22|27,489,319.22|Industrial|BYMLXM1|US00206RCR12|2.80|Feb 17, 2021|1.91|1.83|0.94|26,900,000.00
FORDF_19-1 A|Fixed Income|0.42|102.42|27,222,706.20|27,222,706.20|ABS|--|US34528QGS75|2.84|Mar 15, 2024|1.69|1.69|2.04|26,550,000.00
GENERAL MILLS INC|Fixed Income|0.41|100.42|26,772,817.90|26,772,817.90|Industrial|BDZ7LB4|US370334CB82|2.38|Apr 16, 2021|2.00|2.00|0.21|26,636,000.00
BANK OF AMERICA CORP MTN|Fixed Income|0.41|100.25|26,681,721.85|26,681,721.85|Financial Institutions|BF8F0W3|US06051GGP81|2.37|Jul 21, 2021|2.23|1.84|0.47|26,600,000.00
PSTAT_18-5A A1 144A|Fixed Income|0.40|99.70|26,086,586.74|26,086,586.74|ABS|--|US69700PAA03|2.67|Jan 20, 2027|2.85|2.85|0.22|26,147,236.00
CREDIT SUISSE GROUP FUNDING GUERNS MTN|Fixed Income|0.40|100.14|25,686,263.17|25,686,263.17|Financial Institutions|BYN7P66|US225433AD39|2.75|Mar 26, 2020|1.83|1.83|0.15|25,410,000.00
GENERAL MOTORS FINANCIAL CO INC|Fixed Income|0.39|101.29|25,492,333.33|25,492,333.33|Industrial|BYV2G48|US37045XBD75|3.70|Nov 24, 2020|2.09|1.93|0.72|25,000,000.00
BANK OF AMERICA CORP MTN|Fixed Income|0.39|101.80|25,469,119.56|25,469,119.56|Financial Institutions|BYM40Y1|US06051GGH65|2.98|Jan 20, 2023|2.35|2.04|0.24|25,000,000.00
CITIGROUP INC|Fixed Income|0.39|100.71|25,350,486.11|25,350,486.11|Financial Institutions|BZ0D939|US172967KB60|2.65|Oct 26, 2020|1.68|1.68|0.73|25,000,000.00
AT&T INC|Fixed Income|0.39|101.04|25,289,471.35|25,289,471.35|Industrial|BF2JH42|US00206RDV15|2.78|Jul 15, 2021|2.03|2.03|0.21|25,000,000.00
GOLDMAN SACHS GROUP INC/THE|Fixed Income|0.39|101.05|25,268,050.27|25,268,050.27|Financial Institutions|BDFCML6|US38141GWD23|2.90|Apr 26, 2022|2.44|2.06|0.24|25,000,000.00
MIZUHO FINANCIAL GROUP INC|Fixed Income|0.39|100.60|25,241,746.00|25,241,746.00|Financial Institutions|BKV8HT0|US60687YBB48|2.74|Sep 13, 2023|2.49|2.43|0.13|25,000,000.00
BECTON DICKINSON AND COMPANY|Fixed Income|0.39|100.14|25,124,397.50|25,124,397.50|Industrial|BF2KB32|US075887BR99|2.40|Jun 05, 2020|2.00|2.00|0.34|25,000,000.00
CCCIT_18-A2 A2|Fixed Income|0.39|100.15|25,050,722.38|25,050,722.38|ABS|--|US17305EGL39|1.98|Jan 20, 2025|1.97|1.97|0.06|25,000,000.00
CAPITAL ONE FINANCIAL CORPORATION|Fixed Income|0.39|101.22|25,035,195.57|25,035,195.57|Financial Institutions|BYXBL15|US14040HBM60|2.84|Mar 09, 2022|2.17|2.15|0.12|24,635,000.00
HSBC HOLDINGS PLC|Fixed Income|0.38|100.13|24,851,514.91|24,851,514.91|Financial Institutions|BD05NZ1|US404280BQ12|2.50|May 18, 2021|2.30|1.97|0.05|24,695,000.00
BOEING COMPANY (THE)|Cash|0.38|98.94|24,734,904.18|24,734,904.18|Cash and/or Derivatives|--|--|0.00|Jul 31, 2020|2.11|2.11|0.50|25,000,000.00
BROADCOM CORPORATION/BROADCOM CAYM|Fixed Income|0.38|101.77|24,454,320.00|24,454,320.00|Industrial|BFWRF86|US11134LAD10|3.00|Jan 15, 2022|2.07|2.03|1.84|24,000,000.00
BAT CAPITAL CORP|Fixed Income|0.37|100.21|24,178,454.83|24,178,454.83|Industrial|BG5QTT6|US05526DAT28|2.50|Aug 14, 2020|2.00|2.00|0.04|24,000,000.00
NMOTR_19-A A|Fixed Income|0.37|100.48|24,086,341.86|24,086,341.86|ABS|--|US65474VAQ41|2.24|Feb 15, 2024|2.01|2.01|0.06|23,950,000.00
NMOTR_19-B A|Fixed Income|0.37|100.24|24,078,252.10|24,078,252.10|ABS|--|US65474VAS07|2.11|Nov 15, 2023|1.98|1.98|0.05|24,000,000.00
FORD MOTOR CREDIT COMPANY LLC|Cash|0.37|98.63|23,671,453.99|23,671,453.99|Cash and/or Derivatives|--|--|0.00|Jul 31, 2020|2.73|2.73|0.50|24,000,000.00
BX_18-BIOA A 144A|Fixed Income|0.36|99.91|23,190,682.75|23,190,682.75|CMBS|--|US056057AA02|2.35|Mar 15, 2037|2.46|2.46|0.05|23,190,000.00
VERIZON COMMUNICATIONS INC|Fixed Income|0.36|100.15|23,082,306.86|23,082,306.86|Industrial|BF2JH97|US92343VDZ40|2.45|May 22, 2020|1.86|1.86|0.06|22,940,000.00
FORD MOTOR CREDIT COMPANY LLC|Cash|0.36|99.61|23,040,278.73|23,040,278.73|Cash and/or Derivatives|--|--|0.00|Mar 24, 2020|2.60|2.60|0.15|23,130,000.00
SMB_17-A A2B 144A|Fixed Income|0.36|100.20|23,009,730.59|23,009,730.59|ABS|--|US78448WAC91|2.58|Sep 15, 2034|2.53|2.53|0.05|22,938,949.00
NMOTR_17-B A|Fixed Income|0.35|100.06|22,546,263.05|22,546,263.05|ABS|--|US65474VAN10|2.11|Apr 18, 2022|1.77|1.77|0.05|22,513,000.00
ALM_17R AAR 144A|Fixed Income|0.35|100.09|22,545,574.22|22,545,574.22|ABS|--|US02014PDJ03|2.76|Jan 15, 2028|2.69|2.69|0.21|22,500,000.00
VOLKSWAGEN GROUP OF AMERICA FINANC 144A|Fixed Income|0.34|100.15|22,222,437.58|22,222,437.58|Industrial|BY9CSG6|US928668AM41|2.40|May 22, 2020|1.92|1.92|0.31|22,090,000.00
BARCLAYS PLC|Fixed Income|0.34|100.32|22,161,101.11|22,161,101.11|Financial Institutions|BYYT6F7|US06738EAG08|2.88|Jun 08, 2020|1.97|1.97|0.35|22,000,000.00
UNITED TECHNOLOGIES CORPORATION|Fixed Income|0.34|100.02|21,981,741.78|21,981,741.78|Industrial|BF8QNQ1|US913017CZ02|2.55|Aug 16, 2021|2.45|2.16|0.04|21,865,000.00
MBMOT_18-BA A 144A|Fixed Income|0.34|100.17|21,875,102.14|21,875,102.14|ABS|--|US58768UAK97|2.02|May 15, 2023|1.89|1.89|0.05|21,820,000.00
TRMPK_15-1A ARR 144A|Fixed Income|0.34|100.03|21,772,182.44|21,772,182.44|ABS|--|US89473LAH78|2.89|Oct 20, 2028|2.88|2.88|0.22|21,750,000.00
BECTON DICKINSON AND COMPANY|Fixed Income|0.33|100.04|21,439,364.36|21,439,364.36|Industrial|BF4TH51|US075887CF43|2.84|Dec 29, 2020|2.68|2.41|0.09|21,378,000.00
NEWFIELD EXPLORATION CO|Fixed Income|0.33|106.35|21,269,000.00|21,269,000.00|Industrial|B5203Q9|US651290AP34|5.75|Jan 30, 2022|2.48|2.48|1.91|20,000,000.00
OCP_16-12A A1R 144A|Fixed Income|0.33|100.14|21,140,326.46|21,140,326.46|ABS|--|US67092RAE80|2.94|Oct 18, 2028|2.88|2.88|0.23|21,095,000.00
CHARTER COMMUNICATIONS OPERATING L|Fixed Income|0.33|105.52|21,121,360.00|21,121,360.00|Industrial|BDFF420|US161175BB96|4.46|Jul 23, 2022|2.17|2.01|2.21|20,000,000.00
BMWFT_18-1 A2 144A|Fixed Income|0.33|100.16|21,111,042.51|21,111,042.51|ABS|--|US05564UAN00|2.00|May 15, 2023|1.88|1.88|0.05|21,060,000.00
DAIMLER FINANCE NORTH AMERICA LLC 144A|Fixed Income|0.33|100.32|21,068,974.95|21,068,974.95|Industrial|--|US233851DG63|3.10|May 04, 2020|1.86|1.86|0.26|20,848,000.00
BX_19-XL A 144A|Fixed Income|0.33|100.32|21,068,017.48|21,068,017.48|CMBS|--|US056054AA70|2.60|Oct 15, 2036|2.39|2.39|0.05|20,979,000.00
CSMC_19-ICE4 A 144A|Fixed Income|0.32|100.16|20,977,665.37|20,977,665.37|CMBS|--|US12653VAA44|2.66|May 15, 2036|2.61|2.61|0.05|20,920,000.00
NAROT_19-A A2A|Fixed Income|0.32|100.38|20,896,104.89|20,896,104.89|ABS|--|US65479KAB61|2.82|Jan 18, 2022|1.77|1.77|0.35|20,793,007.00
MACRE_18-FL1 A 144A|Fixed Income|0.32|100.09|20,685,553.43|20,685,553.43|CMBS|--|US565780AA14|2.82|Jun 15, 2028|2.75|2.75|0.05|20,640,000.00
ACTAVIS FUNDING SCS|Fixed Income|0.32|100.13|20,620,175.59|20,620,175.59|Industrial|BYNW9W5|US00507UAQ40|3.14|Mar 12, 2020|1.98|1.98|0.11|20,505,000.00
AERCAP IRELAND CAPITAL LTD / AERCA|Fixed Income|0.32|101.89|20,609,050.00|20,609,050.00|Financial Institutions|BYNMJD6|US00772BAQ41|4.63|Oct 30, 2020|2.07|2.07|0.73|20,000,000.00
CEDF_16-6A AR 144A|Fixed Income|0.32|99.93|20,500,315.34|20,500,315.34|ABS|--|US15032DAH44|2.91|Oct 20, 2028|2.94|2.94|0.22|20,500,000.00
UBS GROUP FUNDING SWITZERLAND AG 144A|Fixed Income|0.32|101.60|20,434,948.33|20,434,948.33|Financial Institutions|BDZWFF1|US90352JAB98|3.13|May 23, 2023|2.53|2.32|0.09|20,000,000.00
LLOYDS BANK PLC|Fixed Income|0.31|100.47|20,339,100.00|20,339,100.00|Financial Institutions|BYT35J1|US53944VAK52|2.70|Aug 17, 2020|1.83|1.83|0.54|20,000,000.00
MIZUHO FINANCIAL GROUP INC|Fixed Income|0.31|101.28|20,337,130.13|20,337,130.13|Financial Institutions|BYYPZZ8|US60687YAF60|3.03|Sep 13, 2021|2.16|2.16|0.13|20,000,000.00
DANSKE BANK A/S MTN 144A|Fixed Income|0.31|100.50|20,303,700.84|20,303,700.84|Financial Institutions|BYNVKT6|US23636AAD37|2.75|Sep 17, 2020|1.94|1.94|0.62|20,000,000.00
STANDARD CHARTERED PLC 144A|Fixed Income|0.31|101.13|20,250,616.67|20,250,616.67|Financial Institutions|BYVXFP5|US853254AY62|3.05|Jan 15, 2021|1.86|1.86|0.94|20,000,000.00
COMMONWEALTH BANK OF AUSTRALIA (NE MTN|Fixed Income|0.31|100.50|20,217,133.33|20,217,133.33|Financial Institutions|BYQGXZ5|US20271RAM25|2.40|Nov 02, 2020|1.73|1.73|0.75|20,000,000.00
SKANDINAVISKA ENSKILDA BANKEN AB 144A|Fixed Income|0.31|100.52|20,209,770.73|20,209,770.73|Financial Institutions|BYQ29K0|US83051GAE89|2.63|Nov 17, 2020|1.97|1.97|0.79|20,000,000.00
DISCOVER BANK|Fixed Income|0.31|100.31|20,158,844.44|20,158,844.44|Financial Institutions|BYYT7P4|US25466AAG67|3.10|Jun 04, 2020|2.18|1.89|0.26|20,000,000.00
JPMORGAN CHASE & CO|Fixed Income|0.31|100.19|20,108,299.63|20,108,299.63|Financial Institutions|BF2XVY2|US46647PAG19|2.59|Jun 01, 2021|2.35|1.95|0.09|19,985,000.00
AT&T INC|Fixed Income|0.31|100.13|20,067,433.33|20,067,433.33|Industrial|BX2K4H3|US00206RCL42|2.45|Jun 30, 2020|2.12|2.04|0.41|20,000,000.00
HEWLETT PACKARD ENTERPRISE CO|Fixed Income|0.31|100.03|20,041,336.67|20,041,336.67|Industrial|BG4N783|US42824CBB46|2.62|Oct 05, 2021|2.52|1.85|0.04|20,000,000.00
DRSLF_16-43A AR 144A|Fixed Income|0.31|100.05|20,025,139.65|20,025,139.65|ABS|--|US26245CAU71|2.96|Jul 20, 2029|2.94|2.94|0.23|20,000,000.00
GLENCORE FUNDING LLC|Cash|0.31|99.62|19,923,080.00|19,923,080.00|Cash and/or Derivatives|--|--|0.00|Apr 09, 2020|1.99|1.99|0.19|20,000,000.00
AUSTRALIA & NEW ZEALAND BANKING GR 144A|Fixed Income|0.31|100.24|19,887,072.38|19,887,072.38|Financial Institutions|BYQMSL4|US05252ACU34|2.40|Aug 19, 2020|1.87|1.87|0.06|19,745,000.00
FORD MOTOR CREDIT COMPANY LLC|Cash|0.30|98.14|19,627,956.66|19,627,956.66|Cash and/or Derivatives|--|--|0.00|Sep 25, 2020|2.86|2.86|0.65|20,000,000.00
WFRBS_12-C8 A-FL 144A|Fixed Income|0.30|100.42|19,556,586.91|19,556,586.91|CMBS|--|US92936YAH45|2.67|Aug 15, 2045|2.39|2.39|0.05|19,449,832.00
HARTFORD FINANCIAL SERVICES GROUP|Fixed Income|0.30|100.56|19,514,883.79|19,514,883.79|Financial Institutions|B4X0V45|US416515AZ70|5.50|Mar 30, 2020|2.07|2.07|0.16|19,058,000.00
NMOTR_17-C A|Fixed Income|0.30|100.09|19,438,544.86|19,438,544.86|ABS|--|US65474VAP67|2.00|Oct 17, 2022|1.87|1.87|0.05|19,405,000.00
AMCAR_19-1 A2A|Fixed Income|0.30|100.39|19,297,581.06|19,297,581.06|ABS|--|US03066GAB59|2.93|Jun 20, 2022|1.81|1.81|0.34|19,204,702.00
GSMS_19-SOHO A 144A|Fixed Income|0.29|100.06|19,078,236.07|19,078,236.07|CMBS|--|US36257XAA90|2.58|Jun 15, 2036|2.64|2.64|0.05|19,046,000.00
BMWOT_19-A A2|Fixed Income|0.29|100.23|19,048,900.72|19,048,900.72|ABS|--|US05588CAB81|2.05|May 25, 2022|1.66|1.66|0.57|19,000,000.00
MSC_18-SUN A 144A|Fixed Income|0.29|99.81|19,029,534.27|19,029,534.27|CMBS|--|US61691MAA53|2.58|Jul 15, 2035|2.70|2.70|0.05|19,045,000.00
NISSAN MOTOR ACCEPTANCE CORP MTN 144A|Fixed Income|0.29|100.08|19,022,514.82|19,022,514.82|Industrial|BF7KPG8|US654740BC20|2.35|Sep 28, 2020|2.11|2.11|0.16|18,968,000.00
CREDIT SUISSE NEW YORK NY MTN|Fixed Income|0.29|102.09|18,976,686.00|18,976,686.00|Financial Institutions|BRK8CH3|US22546QAR83|3.00|Oct 29, 2021|1.78|1.78|1.69|18,450,000.00
CITIGROUP INC|Fixed Income|0.29|101.80|18,757,533.11|18,757,533.11|Financial Institutions|BYNXLZ5|US172967LC35|2.90|Dec 08, 2021|1.91|1.86|1.73|18,350,000.00
ALLYA_19-1 A2|Fixed Income|0.28|100.34|18,186,908.81|18,186,908.81|ABS|--|US02004WAB72|2.85|Mar 15, 2022|1.74|1.74|0.30|18,104,647.00
BX_20-BXLP A 144A|Fixed Income|0.28|100.09|18,012,552.72|18,012,552.72|Financial Institutions|--|US05607QAA67|2.55|Dec 15, 2029|2.44|2.44|0.04|17,996,000.00
NISSAN MOTOR ACCEPTANCE CORP.|Cash|0.28|99.64|17,935,230.01|17,935,230.01|Cash and/or Derivatives|--|--|0.00|Apr 07, 2020|1.91|1.91|0.18|18,000,000.00
SYNCHRONY FINANCIAL|Fixed Income|0.28|100.00|17,929,901.12|17,929,901.12|Financial Institutions|BVRZ930|US87165BAE39|2.70|Feb 03, 2020|2.66|2.66|0.01|17,695,000.00
AMXCA_18-9 A|Fixed Income|0.27|100.20|17,700,683.23|17,700,683.23|ABS|--|US02582JJK79|2.06|Apr 15, 2026|2.01|2.01|0.05|17,650,000.00
CREDIT SUISSE NEW YORK NY MTN|Fixed Income|0.27|101.30|17,512,384.28|17,512,384.28|Financial Institutions|B553581|US22546QAF46|4.38|Aug 05, 2020|1.82|1.82|0.50|16,932,000.00
SLMA_06-A A5|Fixed Income|0.27|97.85|17,482,550.89|17,482,550.89|ABS|--|US78443CCL63|2.18|Jun 15, 2039|2.62|2.62|0.09|17,817,205.00
TAOT_19-A A2A|Fixed Income|0.27|100.40|17,423,005.07|17,423,005.07|ABS|--|US89239AAB98|2.83|Oct 15, 2021|1.66|1.66|0.34|17,333,282.00
WFCM_17-SMP A 144A|Fixed Income|0.27|99.69|17,242,821.79|17,242,821.79|CMBS|--|US95001CAA09|2.43|Dec 15, 2034|2.94|2.94|1.97|17,280,000.00
GENERAL ELECTRIC CO|Cash|0.26|99.69|16,947,270.73|16,947,270.73|Cash and/or Derivatives|--|US36960LD103|0.00|Apr 01, 2020|1.81|1.81|0.17|17,000,000.00
HLM_10A-16 A1R 144A|Fixed Income|0.26|100.06|16,872,315.85|16,872,315.85|ABS|--|US40436TAL08|2.96|Jan 20, 2028|2.94|2.94|0.23|16,850,000.00
PLAINS ALL AMERICAN PIPELINE LP|Fixed Income|0.26|102.10|16,869,255.82|16,869,255.82|Industrial|B65W9F0|US72650RAY80|5.00|Feb 01, 2021|2.86|2.18|0.72|16,130,000.00
