Name,AssetClass,Weight,Price,MarketValue,NotionalValue,Sector,SEDOL,ISIN,Coupon,Maturity,YTM,Yield to Worst,Duration,Par Value
CHARTER COMMUNICATIONS OPERATING L,Fixed Income,0.17,129.38,3326545.44,3326545.44,Communications,BYQ7R23,US161175BA14,6.48,"Oct 23, 2045",4.54,4.52,13.73,2540000.00
MICROSOFT CORPORATION,Fixed Income,0.16,131.60,3207963.50,3207963.50,Technology,BYP2P81,US594918CB81,4.50,"Feb 06, 2057",3.07,3.06,19.62,2400000.00
VERIZON COMMUNICATIONS INC,Fixed Income,0.16,116.24,3186857.64,3186857.64,Communications,BYRLRK2,US92343VCV45,4.27,"Jan 15, 2036",2.99,2.99,11.91,2740000.00
MICROSOFT CORPORATION,Fixed Income,0.16,114.99,3161666.18,3161666.18,Technology,BDCBCL6,US594918BT09,3.70,"Aug 08, 2046",2.89,2.88,17.06,2710000.00
WALT DISNEY CO,Fixed Income,0.16,143.16,3155923.85,3155923.85,Communications,--,US254687DZ66,6.20,"Dec 15, 2034",2.67,2.67,10.63,2195000.00
GLAXOSMITHKLINE CAPITAL INC,Fixed Income,0.16,147.34,3155882.19,3155882.19,Consumer Non-Cyclical,B2RDM21,US377372AE71,6.38,"May 15, 2038",3.00,3.00,12.10,2125000.00
HOME DEPOT INC,Fixed Income,0.16,138.21,3154560.56,3154560.56,Consumer Cyclical,B1L80H6,US437076AS19,5.88,"Dec 16, 2036",2.98,2.98,11.67,2273000.00
ASTRAZENECA PLC,Fixed Income,0.16,143.68,3137762.05,3137762.05,Consumer Non-Cyclical,B7FFL50,US046353AD01,6.45,"Sep 15, 2037",3.19,3.19,11.61,2150000.00
GENERAL ELECTRIC CAPITAL CORP MTN,Fixed Income,0.16,125.70,3123950.75,3123950.75,Capital Goods,B2NJ7Z1,US36962G3P70,5.88,"Jan 14, 2038",3.88,3.88,11.89,2483000.00
COMCAST CORPORATION,Fixed Income,0.16,103.96,3087154.77,3087154.77,Communications,--,US20030NCY58,3.25,"Nov 01, 2039",2.98,2.98,14.39,2950000.00
BANK OF AMERICA CORP MTN,Fixed Income,0.15,131.43,3071492.55,3071492.55,Banking,BJ3WDS4,US06051GFC87,5.00,"Jan 21, 2044",3.13,3.13,15.21,2337000.00
ORACLE CORPORATION,Fixed Income,0.15,111.98,3031119.40,3031119.40,Technology,BF4ZFF5,US68389XBP96,3.80,"Nov 15, 2037",2.93,2.91,12.96,2690000.00
ABBVIE INC,Fixed Income,0.15,111.94,3030248.06,3030248.06,Consumer Non-Cyclical,BCZM189,US00287YAM12,4.40,"Nov 06, 2042",3.63,3.63,14.67,2685000.00
TEACHERS INSURANCE AND ANNUITY ASS 144A,Fixed Income,0.15,115.90,3016375.32,3016375.32,Insurance,BF19248,US878091BF35,4.27,"May 15, 2047",3.37,3.36,16.57,2585000.00
BRISTOL-MYERS SQUIBB CO 144A,Fixed Income,0.15,121.86,2986803.60,2986803.60,Consumer Non-Cyclical,BK62TP7,US110122CD86,4.25,"Oct 26, 2049",3.12,3.11,17.66,2431000.00
ERAC USA FINANCE COMPANY 144A,Fixed Income,0.15,143.59,2944044.09,2944044.09,Transportation,B28HLT2,US26882PBE16,7.00,"Oct 15, 2037",3.64,3.64,11.34,2024000.00
CHARTER COMMUNICATIONS OPERATING L,Fixed Income,0.15,119.82,2926326.39,2926326.39,Communications,BFY3BX9,US161175BN35,5.75,"Apr 01, 2048",4.50,4.49,14.72,2407000.00
DUPONT DE NEMOURS INC,Fixed Income,0.15,124.35,2907870.89,2907870.89,Basic Industry,BGWKX55,US26078JAF75,5.42,"Nov 15, 2048",3.99,3.98,15.65,2320000.00
JPMORGAN CHASE & CO,Fixed Income,0.15,112.89,2887181.42,2887181.42,Banking,BF348B0,US46647PAJ57,3.88,"Jul 24, 2038",2.94,2.94,12.77,2515000.00
PFIZER INC.,Fixed Income,0.14,161.41,2868716.04,2868716.04,Consumer Non-Cyclical,B65HZL3,US717081CY74,7.20,"Mar 15, 2039",2.97,2.97,12.11,1750000.00
MICROSOFT CORPORATION,Fixed Income,0.14,119.99,2867889.97,2867889.97,Technology,BDCBCK5,US594918BU71,3.95,"Aug 08, 2056",3.04,3.03,20.07,2355000.00
BHP BILLITON FINANCE (USA) LTD,Fixed Income,0.14,130.80,2841358.62,2841358.62,Basic Industry,BFD3PF0,US055451AV01,5.00,"Sep 30, 2043",3.15,3.15,14.90,2147000.00
EXXON MOBIL CORP,Fixed Income,0.14,118.64,2832938.04,2832938.04,Energy,BYYD0G8,US30231GAW24,4.11,"Mar 01, 2046",3.07,3.06,16.38,2356000.00
AT&T INC,Fixed Income,0.14,123.31,2830012.48,2830012.48,Communications,BH4NZW0,US00206RFU14,5.15,"Feb 15, 2050",3.84,3.83,16.16,2254000.00
CHARTER COMMUNICATIONS OPERATING L,Fixed Income,0.14,114.85,2825789.00,2825789.00,Communications,BFF9P78,US161175BL78,5.38,"May 01, 2047",4.43,4.42,14.81,2435000.00
MORGAN STANLEY,Fixed Income,0.14,122.18,2822858.78,2822858.78,Banking,BYM4WR8,US61746BEG77,4.38,"Jan 22, 2047",3.15,3.15,16.49,2270000.00
CITIGROUP INC,Fixed Income,0.14,127.27,2816912.88,2816912.88,Banking,BFMLH37,US172967MD09,4.65,"Jul 23, 2048",3.19,3.18,16.76,2174000.00
BANK OF AMERICA CORP,Fixed Income,0.14,138.84,2808774.90,2808774.90,Banking,B1G7Y98,US06050TJZ66,6.00,"Oct 15, 2036",3.02,3.02,11.44,2000000.00
CITIGROUP INC,Fixed Income,0.14,170.02,2781970.53,2781970.53,Banking,B3Q88R1,US172967EW71,8.13,"Jul 15, 2039",3.25,3.25,12.03,1635000.00
DAIMLER FINANCE NORTH AMERICA LLC,Fixed Income,0.14,149.38,2766319.77,2766319.77,Consumer Cyclical,B065ZJ2,US233835AQ08,8.50,"Jan 18, 2031",3.15,3.15,7.98,1851000.00
JPMORGAN CHASE & CO,Fixed Income,0.14,147.01,2763665.16,2763665.16,Banking,B39F3N0,US46625HHF01,6.40,"May 15, 2038",3.03,3.03,12.08,1865000.00
TELEFONICA EMISIONES SAU,Fixed Income,0.14,121.12,2743966.81,2743966.81,Communications,BF04KW8,US87938WAU71,5.21,"Mar 08, 2047",3.94,3.94,15.30,2230000.00
ABBOTT LABORATORIES,Fixed Income,0.14,126.11,2732191.77,2732191.77,Consumer Non-Cyclical,BYVQ5V0,US002824BG43,4.75,"Nov 30, 2036",2.80,2.76,11.97,2155000.00
PERTAMINA PERSERO PT MTN 144A,Fixed Income,0.14,129.01,2728372.69,2728372.69,Owned No Guarantee,BMW3CJ3,US69370PAA93,6.45,"May 30, 2044",4.48,4.48,13.55,2100000.00
PETROLEOS MEXICANOS,Fixed Income,0.14,104.20,2726424.92,2726424.92,Owned No Guarantee,B0Z2BX0,US706451BG56,6.63,"Jun 15, 2035",6.20,6.20,9.78,2600000.00
VISA INC,Fixed Income,0.14,125.04,2722886.02,2722886.02,Consumer Cyclical,BYPHFN1,US92826CAF95,4.30,"Dec 14, 2045",2.92,2.90,16.43,2170000.00
COMCAST CORPORATION,Fixed Income,0.14,121.49,2718128.16,2718128.16,Communications,BGGFK00,US20030NCL38,4.60,"Oct 15, 2038",3.08,3.05,12.86,2215000.00
VODAFONE GROUP PLC,Fixed Income,0.14,123.76,2712916.82,2712916.82,Communications,BFMLP22,US92857WBM10,5.25,"May 30, 2048",3.86,3.86,15.86,2179000.00
AT&T INC,Fixed Income,0.14,113.91,2690633.16,2690633.16,Communications,BX2KBF0,US00206RCP55,4.50,"May 15, 2035",3.33,3.30,11.12,2345000.00
MICROSOFT CORPORATION,Fixed Income,0.14,126.59,2683793.68,2683793.68,Technology,BYV2RR8,US594918BL72,4.45,"Nov 03, 2045",2.97,2.95,16.16,2104000.00
WELLS FARGO & CO,Fixed Income,0.14,133.43,2683916.87,2683916.87,Banking,BJTGHH7,US949746RF01,5.61,"Jan 15, 2044",3.53,3.53,14.58,2010000.00
WALMART INC,Fixed Income,0.13,117.96,2675192.67,2675192.67,Consumer Cyclical,BG0MT55,US931142EB57,3.95,"Jun 28, 2038",2.71,2.68,13.32,2263000.00
BRISTOL-MYERS SQUIBB CO 144A,Fixed Income,0.13,131.36,2649111.87,2649111.87,Consumer Non-Cyclical,--,US110122BU11,5.00,"Aug 15, 2045",3.20,3.18,15.39,1984000.00
VERIZON COMMUNICATIONS INC,Fixed Income,0.13,128.05,2636516.29,2636516.29,Communications,BYZKXZ8,US92343VDU52,5.25,"Mar 16, 2037",3.12,3.12,11.87,2030000.00
SAUDI ARABIAN OIL CO MTN 144A,Fixed Income,0.13,109.02,2632294.54,2632294.54,Owned No Guarantee,BK0L4H7,US80414L2E48,4.25,"Apr 16, 2039",3.60,3.60,13.24,2390000.00
VERIZON COMMUNICATIONS INC,Fixed Income,0.13,126.17,2630574.54,2630574.54,Communications,BXVMD62,US92343VCK89,4.86,"Aug 21, 2046",3.36,3.36,15.84,2052000.00
KAISER FOUNDATION HOSPITALS,Fixed Income,0.13,118.06,2597432.49,2597432.49,Consumer Non-Cyclical,BF0YLL4,US48305QAD51,4.15,"May 01, 2047",3.16,3.15,16.82,2183000.00
MERCK & CO INC,Fixed Income,0.13,112.64,2577267.17,2577267.17,Consumer Non-Cyclical,BVFMPQ8,US58933YAT29,3.70,"Feb 10, 2045",2.98,2.97,16.36,2255000.00
GILEAD SCIENCES INC,Fixed Income,0.13,123.25,2568214.48,2568214.48,Consumer Non-Cyclical,BYMYP35,US375558BD48,4.75,"Mar 01, 2046",3.40,3.39,15.62,2053000.00
AT&T INC,Fixed Income,0.13,115.80,2549201.09,2549201.09,Communications,BX2H2X6,US00206RCQ39,4.75,"May 15, 2046",3.80,3.79,15.49,2185000.00
METLIFE INC,Fixed Income,0.13,114.88,2522475.56,2522475.56,Insurance,BW9JZD9,US59156RBN70,4.05,"Mar 01, 2045",3.18,3.18,16.06,2166000.00
AMGEN INC,Fixed Income,0.13,114.78,2488721.98,2488721.98,Consumer Non-Cyclical,BWTM390,US031162BZ23,4.40,"May 01, 2045",3.51,3.50,15.58,2150000.00
AMAZON.COM INC,Fixed Income,0.12,127.42,2473626.95,2473626.95,Consumer Cyclical,BTC0L18,US023135AP19,4.80,"Dec 05, 2034",2.57,2.51,10.91,1932000.00
GOLDMAN SACHS GROUP INC/THE,Fixed Income,0.12,144.38,2467870.36,2467870.36,Banking,B920YP3,US38141GGM06,6.25,"Feb 01, 2041",3.30,3.30,13.02,1675000.00
VERIZON COMMUNICATIONS INC,Fixed Income,0.12,122.97,2459468.09,2459468.09,Communications,B73YQP4,US92343VBE39,4.75,"Nov 01, 2041",3.27,3.27,14.24,1983000.00
CISCO SYSTEMS INC,Fixed Income,0.12,141.91,2448632.72,2448632.72,Technology,B4YDXD6,US17275RAD44,5.90,"Feb 15, 2039",3.00,3.00,12.50,1695000.00
ABBVIE INC,Fixed Income,0.12,110.73,2447571.12,2447571.12,Consumer Non-Cyclical,BYP8MQ6,US00287YAW93,4.45,"May 14, 2046",3.80,3.79,15.71,2194000.00
VODAFONE GROUP PLC,Fixed Income,0.12,132.88,2433458.28,2433458.28,Communications,B1SBFX9,US92857WAQ33,6.15,"Feb 27, 2037",3.56,3.56,11.31,1798000.00
JPMORGAN CHASE & CO,Fixed Income,0.12,115.96,2427066.41,2427066.41,Banking,BD0G1Q1,US46647PAL04,3.96,"Nov 15, 2048",3.10,3.10,17.37,2080000.00
APPLE INC,Fixed Income,0.12,122.96,2426257.17,2426257.17,Technology,BXC5WP2,US037833BH21,4.38,"May 13, 2045",3.06,3.06,16.09,1960000.00
SEMPRA ENERGY,Fixed Income,0.12,107.26,2405691.94,2405691.94,Natural Gas,BFWJJY6,US816851BH17,3.80,"Feb 01, 2038",3.26,3.25,12.85,2206000.00
TELEFONICA EMISIONES SAU,Fixed Income,0.12,142.12,2404964.59,2404964.59,Communications,B170DG6,US87938WAC73,7.04,"Jun 20, 2036",3.62,3.62,10.85,1685000.00
KRAFT HEINZ FOODS CO,Fixed Income,0.12,110.85,2404044.66,2404044.66,Consumer Non-Cyclical,BD7YG52,US50077LAM81,5.20,"Jul 15, 2045",4.48,4.47,14.51,2167000.00
SAUDI ARABIAN OIL CO MTN 144A,Fixed Income,0.12,110.99,2394321.32,2394321.32,Owned No Guarantee,--,US80414L2F13,4.38,"Apr 16, 2049",3.75,3.75,16.78,2135000.00
ORACLE CORPORATION,Fixed Income,0.12,113.69,2391142.52,2391142.52,Technology,BWTM367,US68389XBE40,3.90,"May 15, 2035",2.79,2.77,11.53,2090000.00
APPLE INC,Fixed Income,0.12,114.29,2373809.03,2373809.03,Technology,BDCWWV9,US037833CD08,3.85,"Aug 04, 2046",3.06,3.05,16.76,2045000.00
TYSON FOODS INC,Fixed Income,0.12,127.13,2373788.21,2373788.21,Consumer Non-Cyclical,BFZZ2V9,US902494BH59,5.10,"Sep 28, 2048",3.58,3.57,16.13,1844000.00
GENERAL ELECTRIC CAPITAL CORP MTN,Fixed Income,0.12,126.27,2360796.63,2360796.63,Capital Goods,B293H13,US36962G3A02,6.15,"Aug 07, 2037",4.04,4.04,11.30,1829000.00
ANHEUSER-BUSCH INBEV WORLDWIDE INC,Fixed Income,0.12,142.15,2341960.62,2341960.62,Consumer Non-Cyclical,BJ521B1,US03523TBW71,5.80,"Jan 23, 2059",3.74,3.73,18.02,1615000.00
SHELL INTERNATIONAL FINANCE BV,Fixed Income,0.12,118.14,2301496.82,2301496.82,Energy,BXC5W85,US822582BE14,4.13,"May 11, 2035",2.67,2.67,11.61,1935000.00
ABBVIE INC,Fixed Income,0.12,115.23,2300088.73,2300088.73,Consumer Non-Cyclical,BXC32G7,US00287YAS81,4.70,"May 14, 2045",3.76,3.75,15.21,1981000.00
WELLS FARGO & COMPANY MTN,Fixed Income,0.12,124.07,2299003.62,2299003.62,Banking,BYQ29R7,US94974BGQ77,4.90,"Nov 17, 2045",3.48,3.48,15.59,1840000.00
AT&T INC,Fixed Income,0.12,112.15,2291684.74,2291684.74,Communications,BG6F4D1,US00206RGQ92,4.30,"Feb 15, 2030",2.90,2.87,8.07,2010000.00
HSBC HOLDINGS PLC,Fixed Income,0.12,144.00,2290098.11,2290098.11,Banking,B39GHK8,US404280AJ87,6.80,"Jun 01, 2038",3.52,3.52,11.78,1580000.00
MORGAN STANLEY,Fixed Income,0.11,149.60,2281900.89,2281900.89,Banking,B7N7040,US617482V925,6.38,"Jul 24, 2042",3.25,3.25,13.56,1494000.00
STANDARD CHARTERED PLC 144A,Fixed Income,0.11,129.27,2280998.89,2280998.89,Banking,BKY7KJ5,US853254AN08,5.70,"Mar 26, 2044",3.83,3.83,14.20,1740000.00
ALLERGAN FUNDING SCS,Fixed Income,0.11,111.36,2276045.77,2276045.77,Consumer Non-Cyclical,BWDBND7,US00507UAT88,4.55,"Mar 15, 2035",3.57,3.55,10.88,2015000.00
PETROLEOS MEXICANOS 144A,Fixed Income,0.11,107.35,2268554.36,2268554.36,Owned No Guarantee,BKPR306,US71654QCT76,6.84,"Jan 23, 2030",5.86,5.84,7.21,2070000.00
NESTLE HOLDINGS INC. 144A,Fixed Income,0.11,119.66,2260680.44,2260680.44,Consumer Non-Cyclical,BG0QJT1,US641062AN41,4.00,"Sep 24, 2048",2.98,2.97,17.59,1869000.00
AT&T INC,Fixed Income,0.11,118.25,2259742.31,2259742.31,Communications,BJN3990,US00206RHK14,4.85,"Mar 01, 2039",3.53,3.51,12.66,1881000.00
APPLE INC,Fixed Income,0.11,107.53,2256857.71,2256857.71,Technology,BVVCSF2,US037833BA77,3.45,"Feb 09, 2045",3.02,3.02,16.69,2069000.00
MEDTRONIC INC,Fixed Income,0.11,120.98,2254171.82,2254171.82,Consumer Non-Cyclical,BYP6GR9,US585055BT26,4.38,"Mar 15, 2035",2.68,2.68,11.34,1840000.00
INTEL CORP,Fixed Income,0.11,116.87,2251637.82,2251637.82,Technology,B93NKV9,US458140AN04,4.00,"Dec 15, 2032",2.46,2.46,10.28,1920000.00
COMCAST CORPORATION,Fixed Income,0.11,113.11,2251524.60,2251524.60,Communications,BFW31L9,US20030NCE94,4.00,"Nov 01, 2049",3.30,3.30,17.71,1975000.00
REYNOLDS AMERICAN INC,Fixed Income,0.11,119.55,2246410.94,2246410.94,Consumer Non-Cyclical,BZ0HGQ3,US761713BB19,5.85,"Aug 15, 2045",4.55,4.54,13.84,1840000.00
CITIGROUP INC,Fixed Income,0.11,121.90,2246067.48,2246067.48,Banking,BDGLCL2,US172967KR13,4.75,"May 18, 2046",3.47,3.47,15.87,1830000.00
BIOGEN INC,Fixed Income,0.11,122.74,2235935.09,2235935.09,Consumer Non-Cyclical,BYNPNY4,US09062XAD57,5.20,"Sep 15, 2045",3.80,3.79,14.87,1795000.00
AMAZON.COM INC,Fixed Income,0.11,123.76,2230550.58,2230550.58,Consumer Cyclical,BDGMR10,US023135BM78,4.25,"Aug 22, 2057",3.16,3.16,19.87,1777000.00
PETROLEOS MEXICANOS MTN,Fixed Income,0.11,98.23,2225791.94,2225791.94,Owned No Guarantee,BGPYW91,US71654QCL41,6.35,"Feb 12, 2048",6.49,6.49,12.55,2203000.00
CREDIT SUISSE GROUP FUNDING GUERNS,Fixed Income,0.11,127.09,2215337.24,2215337.24,Banking,BY4K810,US225433AF86,4.88,"May 15, 2045",3.29,3.29,15.57,1731000.00
ABBVIE INC,Fixed Income,0.11,114.90,2210614.12,2210614.12,Consumer Non-Cyclical,BXC32C3,US00287YAR09,4.50,"May 14, 2035",3.26,3.23,11.13,1910000.00
COMCAST CORPORATION,Fixed Income,0.11,112.46,2210163.62,2210163.62,Communications,BFWQ3V2,US20030NCC39,3.97,"Nov 01, 2047",3.28,3.27,17.06,1950000.00
GOLDMAN SACHS GROUP INC/THE,Fixed Income,0.11,117.01,2208157.05,2208157.05,Banking,BFXTLH2,US38141GXA74,4.41,"Apr 23, 2039",3.18,3.18,12.86,1870000.00
APPLE INC,Fixed Income,0.11,127.89,2205373.08,2205373.08,Technology,BYN2GF7,US037833BX70,4.65,"Feb 23, 2046",3.09,3.07,15.93,1699000.00
NOVARTIS CAPITAL CORP,Fixed Income,0.11,124.42,2194590.77,2194590.77,Consumer Non-Cyclical,BJZ7ZQ9,US66989HAH12,4.40,"May 06, 2044",2.98,2.98,15.71,1751000.00
HSBC HOLDINGS PLC,Fixed Income,0.11,138.51,2189242.50,2189242.50,Banking,B24FY35,US404280AH22,6.50,"Sep 15, 2037",3.55,3.55,11.46,1555000.00
MEDTRONIC INC,Fixed Income,0.11,128.09,2180438.92,2180438.92,Consumer Non-Cyclical,BYZYSL1,US585055BU98,4.63,"Mar 15, 2045",3.02,3.02,15.79,1681000.00
CIGNA CORP,Fixed Income,0.11,118.70,2174019.75,2174019.75,Consumer Non-Cyclical,BKPHS23,US125523AJ93,4.80,"Aug 15, 2038",3.43,3.41,12.46,1800000.00
ABU DHABI CRUDE OIL PIPELINE LLC 144A,Fixed Income,0.11,115.88,2166073.17,2166073.17,Owned No Guarantee,BD6JBM0,US00401MAB28,4.60,"Nov 02, 2047",3.48,3.48,13.36,1865000.00
MICROSOFT CORPORATION,Fixed Income,0.11,119.96,2138272.81,2138272.81,Technology,BYP2P70,US594918BZ68,4.10,"Feb 06, 2037",2.64,2.61,12.32,1755000.00
ANHEUSER-BUSCH INBEV WORLDWIDE INC MTN,Fixed Income,0.11,118.55,2135597.07,2135597.07,Consumer Non-Cyclical,BFYCQM0,US035240AN09,4.60,"Apr 15, 2048",3.55,3.54,16.40,1783000.00
AT&T INC,Fixed Income,0.11,110.47,2135001.60,2135001.60,Communications,BBNC4H4,US00206RBK77,4.35,"Jun 15, 2045",3.71,3.70,15.59,1925000.00
SHELL INTERNATIONAL FINANCE BV,Fixed Income,0.11,116.09,2127109.89,2127109.89,Energy,BDB2XM8,US822582BQ44,4.00,"May 10, 2046",3.10,3.10,16.75,1820000.00
DOW CHEMICAL COMPANY (THE),Fixed Income,0.11,113.08,2126364.51,2126364.51,Basic Industry,BQS83F3,US260543CK73,4.25,"Oct 01, 2034",3.13,3.10,10.88,1859000.00
PETROLEOS MEXICANOS,Fixed Income,0.11,101.00,2123277.61,2123277.61,Owned No Guarantee,B3XJ8P5,US71654QAZ54,6.50,"Jun 02, 2041",6.41,6.41,11.52,2084000.00
AT&T INC,Fixed Income,0.11,116.27,2101517.39,2101517.39,Communications,BN8KPY1,US00206RCG56,4.80,"Jun 15, 2044",3.77,3.76,14.86,1800000.00
CIGNA CORP,Fixed Income,0.11,121.56,2099175.84,2099175.84,Consumer Non-Cyclical,BKPHS34,US125523AK66,4.90,"Dec 15, 2048",3.68,3.67,16.37,1720000.00
BANK OF AMERICA CORP MTN,Fixed Income,0.11,122.40,2092886.82,2092886.82,Banking,BJMJ632,US06051GHS12,4.33,"Mar 15, 2050",3.15,3.15,17.38,1689000.00
ENEL FINANCE INTERNATIONAL NV 144A,Fixed Income,0.10,113.62,2081370.85,2081370.85,Electric,BD3VQ79,US29278GAC24,4.75,"May 25, 2047",3.93,3.93,15.81,1820000.00
BAT CAPITAL CORP,Fixed Income,0.10,104.52,2075323.82,2075323.82,Consumer Non-Cyclical,BG5QT52,US05526DBD66,4.39,"Aug 15, 2037",4.03,4.02,12.02,1950000.00
UNITED TECHNOLOGIES CORPORATION,Fixed Income,0.10,123.93,2067659.61,2067659.61,Capital Goods,B8J6DZ0,US913017BT50,4.50,"Jun 01, 2042",3.02,3.02,14.84,1660000.00
